Run,Fitness,Time (s),Solution
1,5345.998170453498,25.4259,"[-19.30295724356823, 31.919309060945466, -7.974486526078067, -23.57554857020783, 76.46412549211095, 66.35639515366069, -85.70513016144291, -94.5921201208533, 74.71236304818873, -69.46928312021241, -0.7293923764763264, -17.246009704886006, -56.18762779625843, 96.11804559465315, 30.918301950132758, -60.39307840205085, -17.032380138554032, 84.27686391796624, 66.85079500717185, -88.20154423657948, -88.61659596545304, -62.852870265816215, 66.55781731620229, -62.51716666158025, -74.20575579088717, -58.15912350840785, -43.63841669972839, -87.28598895229958, 49.9801629688406, -52.29346598712119]"
2,6089.031305738892,26.0469,"[73.12540055543687, 75.80492568742943, -48.600726340525526, 99.21872615741447, 78.08160649433881, 87.03573717459639, 81.96356089968566, 73.36344492934964, 18.808557390057075, -1.7731254005554433, 74.44380016479994, -89.92278817102573, 72.8629413739433, -34.8246711630604, -26.67012543107394, -51.60985137485885, -5.459761345255899, -94.35407574694052, -56.28528702658162, -86.48030030213324, 38.0535294656209, 61.62602618488114, -65.2211066011536, 94.01226844080935, 60.887478255562, -8.749656666768388, 87.73766289254434, -91.97973570970794, -22.013000885036774, -85.42435987426374]"
3,5185.927581327974,26.4552,"[37.04031495101779, 96.15466780602435, -1.2421033356730788, 73.22916348765526, -92.30323191015351, 79.69908749656668, 81.78655354472488, -90.24628437147129, -25.91326639606922, -85.22904141361735, 90.05096591082491, -31.101413006988736, -41.59367656483657, 14.285714285714292, -57.908871730704675, 90.08148442030091, 89.17203283791619, 92.65114291817989, 82.86690878017518, 27.40867336039308, -90.1852473525193, 50.846888637958926, 90.04486220892971, 99.79247413556322, -63.85998107852412, -53.49589526047548, -20.798364207892092, -97.64397106845301, 97.63786736655783, -79.54039124729148]"
4,7512.153121858488,25.7563,"[36.04541154210028, 82.82418286690879, -99.56663716544084, -62.63924069948424, 19.589831232642595, 28.482924893948166, -40.09826960051271, 82.79976805932799, -99.45066682943205, -97.15567491683706, 22.367015594958346, -83.11105685598315, 77.05008087405011, 67.23532822656941, 88.36634418774986, 82.79976805932799, 87.27378154850916, 95.39170506912441, -95.22080141605883, -33.616138187810904, -87.9879146702475, -79.76012451551867, 57.54875331888792, 91.27780999176, 87.79869991149633, -74.01043733024079, -57.79290139469588, -75.42039246803186, -89.98382518997772, -80.24842066713461]"
5,5964.49559662944,25.9398,"[79.73570970793787, 92.05908383434553, 85.9431745353557, 69.55473494674521, 11.056855983153781, 75.49363689077424, -81.42033143101291, -39.1338847010712, -50.16937772759179, 22.65388958403271, 98.27875606555375, -39.71984008301035, -70.49470503860591, -20.395519882808927, 73.87005218665121, -3.3967101046784904, 77.31254005554368, -5.050813318277534, -22.244941557054347, -69.14578691976683, 83.7336344492935, -62.681966612750635, 87.43858149967954, -53.78276924954985, -94.21979430524613, -68.67580187383648, 85.9004486220893, 9.640797143467509, -37.449262977996156, -92.79763176366467]"
6,5724.498764620082,25.9091,"[56.98721274452956, 93.74370555742058, -88.23206274605548, -69.13968321787164, 63.0359813226722, -37.992492446668905, -85.18021179845576, -57.06045716727195, -74.41938535721916, -94.37849055452132, -74.23017059846796, 80.05920590838343, 56.14490188299203, 99.92675557725761, 99.16379284035767, -2.114932706686602, 21.402630695516834, 47.05038605914487, -54.84481337931455, 81.96356089968566, -75.52415540025025, 75.46922208319344, 81.6583758049257, 80.93813898129216, -45.29862361522263, -63.0237739188818, 35.55711539048434, -91.77831354716636, 75.25559251686147, 4.1291543321024164]"
7,7237.173694045446,26.4525,"[63.896603289895324, -93.4446241645558, 43.485824152348385, -47.71568956572161, 39.57335123752557, -29.61821344645527, 31.443220313119895, -48.69838557084872, 38.169499801629684, -90.89327677236244, 50.26093325601977, -43.84594256416516, 63.896603289895324, 80.5902279732658, 47.36777855769523, 45.609912411877815, -43.65062410351879, -50.486770226142156, -75.0236518448439, -92.91360209967345, -61.36356700338755, 69.88433484908597, 82.03680532242805, 41.28849147007659, -83.42234565263833, 27.74437696462904, 54.246650593585, 95.15976439710684, 38.67000335703605, -90.66743980224005]"
8,5687.813135950999,25.7854,"[11.526841029084139, -30.631427961058378, 68.73683889278848, 93.3164464247566, 44.72487563707389, 97.04580828272347, 91.36936552018798, 32.63344218268381, 48.973052156132695, 84.96658223212378, 79.66856898709068, 55.89465010528886, 16.495254371776483, -80.90762047181616, -45.73198644978179, -53.17850276192511, 63.18857387005218, -97.857600634785, -60.59450056459242, -5.514694662312692, 69.31669057283241, -79.71129490035707, 8.346812341685236, 99.25534836878566, 90.71016571550646, -30.399487289040806, 90.78951384014405, -22.287667470320756, -99.59105197302164, 66.69820245979187]"
9,4787.713663687642,33.7193,"[-47.61192663350322, 83.11105685598315, -5.3376873073519135, 94.97665334025086, 98.82198553422651, 90.92379528183844, 88.0611590929899, -98.9379558702353, -99.10275582140568, 86.33381145664845, 56.57216101565601, -93.5178685872982, 4.739524521622357, -94.28693502609333, -88.78749961851864, -90.66743980224005, -62.462233344523455, -13.309121982482381, 88.72035889767145, 51.53050325022127, 99.09054841761528, -79.88219855342265, -29.319132053590508, 86.71834467604603, 18.03949095126194, 42.655720694601285, 96.96646015808588, -26.706747642445137, -98.77315591906492, -91.3510544145024]"
10,6541.241674881831,26.2833,"[31.278420361949514, -67.4306466872158, 1.040681173131503, -25.199133274330876, -42.3993652150029, -50.74312570574053, -82.29926450392162, -54.496902371288186, 48.05749687185278, -70.48249763481552, -13.187047944578381, 27.524643696401867, 91.07638782921842, 65.58122501297038, -23.892941068758205, -47.160252693258464, 97.38761558885463, 23.960081789605397, 96.7772453993347, -60.19775994140446, 96.16077150791955, 86.16901150547807, -47.30063783684805, -56.76747947630238, -62.236396374401075, -97.05191198461867, 61.351359599597146, 40.128788109988704, 69.91485335856197, -85.52201910458693]"
