Run,Fitness,Time (s),Solution
1,8323.599825533227,132.2073,"[79.93713187047945, -93.15164647358623, -99.76805932798243, -99.48728904080325, -99.59715567491683, 0.5096591082491528, 74.36445204016235, 49.66277047029024, -99.73754081850642, -87.91467024750511, -87.9757072664571, -49.76653340250862, 24.75966673787653, -99.79857783745842, 96.66127506332592, -85.58305612353892, -94.95834223456527, -95.82506790368359, -82.86690878017518, -98.77925962096012, 96.56971953489793, 94.91561632129887, -98.63277077547532, 98.22992645039216, 96.66737876522112, -91.41209143345439, 82.03070162053285, 86.73665578173163, -78.09991760002441, -91.3266396069216]"
2,7524.4125110642435,135.0407,"[99.9633777886288, 99.969481490524, -99.9877925962096, -99.21262245551927, -93.67656483657338, -99.9938962981048, 99.9938962981048, -99.969481490524, 94.3906979583117, -99.9511703848384, 0.7782219916379347, 99.84740745262002, 99.80468153935362, 100.0, 99.65208899197364, 0.41810357982116386, -25.61418500320444, 24.613177892391732, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -99.92065187536241, -0.7171849726859278, 99.41404461806084, 99.80468153935362, 75.45701467940304]"
3,9188.735426471847,134.2230,"[99.70702230903044, -98.44355601672414, 100.0, 2.3468733787041884, -0.0030518509475996325, 100.0, 100.0, 0.0030518509475996325, -100.0, -100.0, -0.0030518509475996325, 0.0030518509475996325, -100.0, -100.0, -100.0, -100.0, -100.0, -100.0, -78.13043610950041, 12.50343333231605, -0.0030518509475996325, 100.0, 0.0030518509475996325, -50.0045777764214, 100.0, 100.0, 0.0030518509475996325, -100.0, -100.0, -99.9572740867336]"
4,9115.411411791785,132.8174,"[-99.80468153935362, -100.0, 0.674459059419533, 99.93896298104801, 99.9938962981048, 99.9938962981048, 99.60936307870725, 74.91988891262551, 99.9938962981048, 62.44392223883784, -18.717001861629072, -43.69945371868038, 6.057924130985441, -87.46910000915555, -74.83443708609272, 99.9450666829432, 49.88860744041261, 78.209784234138, -49.85198522904141, -87.42027039399396, -99.84740745262002, -99.969481490524, 68.3278908658101, 50.035096285897396, -0.18005920590837832, 25.138096255378883, -0.09460737937558861, -93.63994262520218, -49.949644459364606, -50.114444410534986]"
5,6664.773845688627,134.7125,"[-98.41303750724815, -85.83941160313731, -99.37131870479446, -14.358958708456683, 71.86803796502579, 96.87490462965789, 92.07129123813593, -32.535782952360606, -99.9938962981048, -84.25244911038544, -76.56178472243415, -34.17767876216925, -75.70116275521104, 27.164525284585096, 0.17395550401317905, -99.9938962981048, 50.15717032380138, -7.5838496047853, 76.71437726981415, -97.62565996276741, 94.6470534379101, 97.888119144261, -99.53001495406964, 99.9938962981048, 98.35810419019134, 74.17523728141117, 98.37641529587694, -99.62157048249763, -96.6795861690115, -95.06820886867885]"
6,9455.760963588462,133.9820,"[-50.0167851802118, 98.74263740958892, -49.736014893032625, -0.9186071352275178, -25.0099185155797, 99.93285927915281, -99.35300759910886, -98.69380779442731, 73.63200781273844, -63.85998107852412, -98.78536332285532, 13.498336741233558, 6.253242591631832, 72.75307473982971, 50.0167851802118, -99.49949644459365, 51.48777733695485, 99.81078524124882, -99.54222235786004, -0.6622516556291345, 48.86318552201911, -99.09665211951048, 49.68718527787104, 98.77925962096012, 98.55952635273295, -49.66887417218543, -23.831904049806212, -86.24225592822046, -99.71312601092562, 92.5351725821711]"
7,8886.547005184108,131.7902,"[-100.0, -0.0030518509475996325, 100.0, 100.0, 100.0, 100.0, 100.0, -100.0, -99.9938962981048, 100.0, 99.9938962981048, -100.0, -100.0, -100.0, -100.0, -99.9938962981048, 99.9938962981048, -99.9938962981048, 100.0, -99.9938962981048, -50.0106814783166, -100.0, -100.0, -56.254768517105624, 100.0, 99.9938962981048, 9.38444166386914, -0.009155552842798897, -100.0, -99.9938962981048]"
8,8211.772951116422,132.7532,"[85.65019684438613, -8.865627002777188, -95.6480605487228, 3.250221259193708, 22.40974150822474, 70.7815790276803, 56.675923947874395, -61.83965575121311, 17.67937253944517, -78.49665822321238, 79.79064302499467, -53.64848780785547, 23.39243751335185, 11.221655934324161, 85.57084871974854, -68.25464644306771, 24.02111880855739, 4.440443128757593, -37.852107303079315, -99.9938962981048, 72.45399334696492, -69.5303201391644, -11.740470595416113, 90.92989898373364, -26.004821924497207, -41.032135990478224, 54.00860621967223, 16.97134311960204, -42.844935453352456, -83.05001983703116]"
9,9407.399776354767,132.1265,"[97.64397106845303, 84.39283425397502, -34.36078981902524, -98.32758568071536, 1.7609179967650448, 39.32920316171757, -43.71776482436598, -47.312845240638445, 59.09298989837336, -99.79857783745842, -81.67058320871608, 73.9005706961272, -63.835566270943325, -2.3224585711233914, 95.42832728049561, -69.87823114719077, 64.59852900784327, 49.51017792291026, -47.459334086123235, -93.15775017548143, -34.76973784600361, 37.345500045777754, 21.87871944334239, 4.440443128757593, 99.90234076967681, -3.335673085726498, -0.5645924253059462, -99.9572740867336, 86.71834467604603, 99.09054841761528]"
10,9001.57385858217,131.5606,"[6.643879512924585, 21.195104831080045, -45.09109775078585, 97.99798577837458, 57.60368663594471, 98.24823755607775, -32.68837549974059, -74.90157780693991, -14.38947721793268, 48.27112643818475, 91.30222479934079, 33.71379741813411, -32.908108767967775, -40.2142399365215, -70.6045716727195, -62.309640797143466, 65.72161015655996, -48.08801538132877, 7.168797875911736, -4.1291543321024164, 6.277657399212629, -16.708883938108457, 63.93932920316172, 98.85860774559771, -30.838953825495167, 72.30750450148014, -54.826502273628954, 91.07638782921842, -57.762382885219886, 59.55687124240853]"
