Run,Fitness,Time (s),Solution
1,5740.303787858688,305.6354,"[-77.61162144840846, 10.580767235328224, -55.10116885891293, 21.750541703543206, 21.127964110232853, 83.24533829767753, -32.72499771111178, -53.93536179692984, -73.12540055543687, 19.125949888607437, 62.578203680532255, 56.05334635456404, -39.725943784905546, -71.08066042054506, 40.72695089571826, -97.14957121494186, 9.939878536332287, -55.38804284798731, -74.59639271217993, -91.2289803765984, 95.82506790368359, -72.60658589434492, -2.401806695760982, 74.90157780693991, 51.23142185735648, -24.38734092226936, 81.17618335520493, -94.16486098818933, -83.05612353892636, 47.75841547898801]"
2,6069.566889615431,338.9846,"[77.42851039155246, -16.122928556169313, 28.51954710531939, -41.35563219092379, 99.35911130100405, 50.06561479537339, -3.4028138065736897, -43.24777977843562, -32.12073122348704, -86.85262611774041, -69.518112735374, 76.43360698263496, -65.95965453047273, 55.83971678823207, 35.84398937955871, 96.63075655384992, -73.14981536301767, 39.390240180669565, 58.03094576860866, 64.19568468276009, -48.72280037842952, -74.19965208899197, 96.86880092776269, 99.00509659108249, -93.98174993133335, 44.73708304086429, -54.71663563951537, -98.77315591906492, 98.07123020111698, -5.850398266548666]"
3,4872.745512817108,345.0587,"[88.0550553910947, 28.02514725180822, 9.18912320322275, -34.055604724265265, -42.381054109317304, 93.51176488540301, -90.1608325449385, -94.5616016113773, 4.391613513595999, -99.93896298104801, 47.495956297494416, -28.55616931669057, 12.021240882595293, 34.74532303842281, 18.75362407300028, -25.351725821710872, 84.90554521317179, 40.88564714499344, 1.4801477095858644, -55.29648731955931, -8.359019745475635, 17.087313455610825, 83.23923459578234, 89.43449201940976, -0.6195257423627396, -99.15158543656727, 96.91763054292429, -99.08444471572008, 14.566484572893458, -81.23111667226172]"
4,5228.383591219201,345.0391,"[84.03271584215827, 98.49238563188572, -98.24213385418255, 36.28955961790825, -10.98361156041139, 59.44090090639972, 69.3838312936796, -0.26551103244118224, 76.33594775231177, -39.35361796929838, 76.78762169255654, -56.46229438154241, -29.233680227057704, 98.19330423902096, 81.70110171819209, -93.4751426740318, -48.49085970641194, 99.57884456923125, -35.53270058290353, 37.46147038178654, 7.089449751274145, -87.46910000915555, -17.246009704886006, -69.90874965666677, -75.19455549790948, 71.12949003570665, 40.867336039307844, -87.26767784661396, 66.74703207495347, -32.85317545091098]"
5,4582.275802622655,344.4718,"[-26.15741447187719, -82.48847926267281, -87.17612231818597, 99.9450666829432, 94.77523117770929, 75.79882198553423, 47.39219336527603, -8.523819696646015, -82.91573839533677, 58.568071535386224, 98.03460798974578, 99.9877925962096, -82.22602008117923, -96.50257881405072, -63.18857387005219, -83.50169377727592, -75.85985900448622, -49.29654835657826, 0.1983703115939761, -99.60936307870723, 70.6778160954619, -66.98507644886624, 1.1566515091402891, 98.35810419019134, 73.44279305398723, 96.11194189275795, -10.177922910245059, -50.10834070863979, -98.57173375652333, 46.09210486159856]"
6,4844.757763186093,341.2059,"[89.1109958189642, 98.10785241248817, 81.10904263435773, 58.12860499893185, 96.67958616901151, 99.90234076967681, -92.59010589922788, -42.47260963774529, 96.8321787163915, -95.6602679525132, 96.42323068941312, 96.10583819086276, -96.42933439130833, 80.90151676992096, 94.80574968718528, 82.02459791863765, 23.38633381145665, 98.82198553422651, 91.1923581652272, 59.050263985106966, -82.7570421460616, -40.97720267342143, 95.38560136722921, 86.9808038575396, 52.80617694631795, 8.023316141239661, 81.5912350840785, -96.7528305917539, 96.47206030457471, 95.55040131839962]"
7,4814.617541968237,348.2560,"[-81.98797570726646, 88.57997375408186, -90.70406201361125, -64.0980254524369, 91.43650624103518, 96.8565935239723, -71.782586138493, 96.8382824182867, -96.6307565538499, -87.54234443189794, -6.534012878810998, -95.36118655964843, 1.7303994872890343, -91.03366191595202, -67.61986144596698, -87.82921842097232, -0.14343699453718273, -44.26099429303873, -87.89025543992432, -62.30353709524827, 94.6165349284341, 56.028931546983245, -76.15283669545579, 94.57991271706291, 89.1232032227546, -20.413830988494524, 97.06411938840907, -16.318247016815704, -98.59614856410413, -96.48426770836512]"
8,4919.02505189123,351.4406,"[91.98583941160314, 92.73049104281748, -69.93926816614277, 49.632251960814244, 10.9042634357738, 60.850856044190806, -24.887844477675714, -84.881130405591, 95.43443098239081, -86.62678914761803, 29.5083468123417, -98.48017822809534, 54.76546525467697, 44.24268318735312, -64.48866237372967, 6.674398022400581, 75.59129612109746, -95.37339396343883, 91.82103946043276, -46.36066774498733, -51.1276589251381, -60.60670796838282, 62.22418897061067, 68.99319437238685, -87.64610736411633, -23.429059724723047, 47.12973418378246, -95.80065309610279, 55.02182073427534, -53.19681386761071]"
9,4667.218899277224,350.3962,"[-11.294900357066567, 89.28189947202978, -93.13333536790063, -31.772820215460683, -31.22959074678792, 88.13440351573229, 93.17606128116702, -76.0734885708182, -90.71626941740165, -92.56569109164708, 44.34034241767631, -87.43858149967956, 9.842219306009099, -78.90560625019074, -85.09475997192297, -90.80172124393445, -89.074373607593, -12.601092562639238, 62.96273689992981, 94.57991271706291, -63.670766319772945, -87.69493697927793, 20.17578661458174, 24.338511307107765, 95.7274086733604, -74.85885189367352, 63.499862666707344, -78.00225836970122, -98.9135410626545, -98.35810419019136]"
10,5845.361984779971,354.0167,"[-84.850611896115, -80.4498428296762, -73.74797814874722, -51.29856257820368, -74.11420026245918, 97.93084505752739, -70.42756431775872, -29.068880275887324, 28.76979888302256, -98.30927457502976, 20.413830988494524, 67.05221716971343, -98.16888943144016, -96.53920102542192, 85.43656727805413, -54.594561601611375, -0.6317331461531381, -93.71929074983977, 55.516220587786506, -10.275582140568261, 54.86312448500016, 94.89730521561327, 86.09576708273568, 97.38151188695943, -94.72029786065248, -82.79976805932799, -31.67516098513748, -71.27597888119143, -54.69222083193457, 42.95480208746605]"
