Run,Fitness,Time (s),Solution
1,6246.271640171223,32.8559,"[22.275460066530357, 88.50672933133947, -54.23444318979461, -74.35224463637196, 97.9003265480514, 59.953611865596486, -12.808618427076027, -95.03769035920286, 33.57341227454452, -86.69392986846522, 68.88943144016847, 23.545030060731833, -66.53950621051668, -44.85305337687307, 77.05008087405011, -42.50312814722129, 54.91195410016175, 68.00439466536454, 66.10614337595752, 67.11935789056062, -85.40604876857815, -80.85268715475937, -1.2298959318826803, -79.4061098055971, -12.49732963042085, -60.24658955656606, 90.67354350413527, -70.08575701162755, 49.546800134281455, 6.735435041352574]"
2,6339.831512903722,32.8073,"[54.41755424665058, 96.08142338328196, -71.7459639271218, 91.16183965575121, -8.20642719809564, 76.12842188787499, -94.83626819666128, 61.9861445966979, -8.053834650715658, 38.95077364421522, 49.388103885006245, -66.07562486648152, 12.33863338114567, -17.05069124423963, -30.784020508438374, -43.04635761589404, 31.461531418805492, -89.88006225775933, -73.23526718955046, -61.53447065645314, 28.904080324716944, 23.343607898190257, -50.88961455122532, 52.86111026337474, -27.32932523575549, -65.69719534897916, 6.259346293527031, -37.97418134098331, 13.589892269661547, -45.939512314218575]"
3,7153.772351163458,33.2624,"[-94.90951261940367, -86.07135227515488, -82.13446455275124, -64.0858180486465, 58.34223456526382, -23.233741264076656, -30.637531662953577, -82.5373088778344, -30.210272530289615, -91.02755821405682, 89.94720297860653, 75.34104434339426, -48.78994109927671, -78.80794701986756, 64.32386242255927, -57.71965697195349, -50.053407391582994, 62.13873714407788, 65.88030640583514, -86.52302621539964, 82.23822748496963, -90.43549913022248, -89.88006225775933, -93.60332041383099, 79.07650990325632, 42.753379924924474, 80.08362071596423, 20.218512527848134, 38.76766258735924, -56.035035248878444]"
4,6404.245945176614,33.5817,"[-57.17032380138554, -35.8928189947203, -51.52439954832606, 81.3531907101657, 29.09329508346812, -63.304544206060974, -37.223426007873776, -83.40403454695273, 66.2831507309183, 71.92907498397778, 67.558824427015, -4.5625171666615785, 97.76604510635701, -69.85992004150518, 68.25464644306771, 28.04345835749382, -53.59355449079867, -27.719962157048244, -49.650563066499835, 68.91994994964446, 3.3173619800409, 27.079073458052306, 69.29227576525162, -86.77938169499802, 96.8565935239723, -91.58909878841517, 99.81688894314402, -90.94821008941923, 41.917172765282146, -46.65974913785211]"
5,6407.897714480518,33.1653,"[15.506454664754173, 87.85363322855312, -54.89364299447615, 93.16995757927182, 60.454115421002825, 96.98477126377148, -18.4728537858211, -62.74300363170263, -41.67302468947417, 13.65092928861354, 88.30530716879787, 75.49363689077424, -71.8497268593402, 49.711600085451835, -16.190069277016505, -5.319376201666316, 91.75389873958557, 88.0428479873043, 39.884640034180734, 93.633838923307, -98.33368938261056, -95.36729026154363, 87.94518875698111, -53.55082857753227, -93.24930570390941, -96.48426770836512, 54.97909482100894, -93.58500930814539, 76.22608111819818, 15.311136204107797]"
6,6940.942785275327,34.4376,"[86.31550035096285, -94.22589800714132, 93.07840205084383, 27.518539994506668, -19.895016327402573, -52.56202887050996, -99.44456312753685, -43.076876125370035, -77.49565111239967, -80.16296884060182, -89.52604754783776, 15.89709158604694, 9.335612048707546, 54.2893765068514, 76.0124515518662, 14.18805505539109, 21.756645405438405, 15.347758415478992, -62.694174016541034, -86.82821131015962, -11.008026367992187, 14.603106784264654, 29.34965056306649, -5.398724326303906, -18.4911648915067, 2.3712881862849855, 2.475051118503373, -8.096560563982052, 17.95403912472915, -83.8251899777215]"
7,6510.8581596285,33.4728,"[86.85872981963561, 72.8812524796289, 85.10696737571337, 51.445051423688454, -76.58009582811975, 6.405835139011813, -25.669118320261234, -40.586565752128664, 52.739036225470755, -74.13861507003998, -11.667226172673722, -86.29718924527727, 60.64943388164923, -23.20322275460066, -51.76244392223884, 55.24765770439771, 84.48438978240301, -14.63972899563585, 46.86727500228889, 0.674459059419533, -30.99765007477035, 78.1609546189764, 76.15283669545579, -24.430066835535754, -84.00219733268227, -98.26654866176337, 37.15018158513138, -91.57689138462477, 15.274513992736601, -63.884395886104926]"
8,5741.463108024966,33.4734,"[-0.1983703115939761, 31.4127018036439, -41.923276467177345, -50.92013306070132, -56.40736106448561, 78.57600634784998, -39.93957335123753, -3.189184240241701, -40.15320291756951, -95.31235694448684, -71.36143070772424, -2.139347514267399, -91.02755821405682, 74.40717795342874, 3.4882656331064794, 59.27610095522934, 65.57512131107518, 66.13666188543351, 69.34720908230841, 79.02768028809473, -62.62703329569384, 98.27265236365855, 82.677694021424, 11.35593737601856, -81.5424054689169, -78.97274697103794, -38.91415143284402, -93.07229834894864, 10.62349314859462, -96.20960112308114]"
9,6962.946274580083,33.3116,"[37.656788842432945, -24.680318613238924, -95.08041627246925, -4.190191351054409, 93.47514267403179, 70.54963835566272, -10.068056276131472, -59.825434125797294, -91.02755821405682, -83.06222724082156, 78.11822870571001, 42.411572618793286, -60.00854518265328, 77.70928067873166, -33.7809381389813, -55.69322794274728, 20.865504928739284, -50.09613330484939, 38.163396099734484, 74.63911862544634, -95.5748161259804, -75.83544419690543, 13.48612933744316, 98.71822260200813, 80.46205023346658, 80.15686513870662, -27.756584368419453, -36.46046327097385, 0.6317331461531381, -74.52925199133274]"
10,6726.76866331355,33.1556,"[-65.45915097506638, 38.92635883663442, -33.87249366740929, 75.15793328653828, 72.50892666402174, 51.0544145023957, -23.85631885738701, -74.85885189367352, -76.25049592577898, 95.36729026154362, 79.2291024506363, 15.213476973784594, 10.025330362865077, -77.23319193090609, -32.383190404980624, 42.49092074343088, -34.91012298959319, -51.469466231269266, -76.65334025086214, -74.61470381786553, 64.74501785332805, 58.46430860316781, 30.881679738761562, 89.88616595965453, 54.472487563707375, -3.9704580828272356, 96.71010467848751, 88.27478865932187, -50.047303689687794, -22.446363719595936]"
