Run,Fitness,Time (s),Solution
1,3000.3090784795963,8.2214,"[0.0005114154690991357, -0.0010014314819274395, 0.003721539230012977, 0.006358398581508634, -0.0006305885149882617, 0.0010679358195302968, 0.00583311036207021, -0.0024766361773565504, -0.00692632720373082, 0.0011468378090217224, -0.011502055333508399, -0.004872080095189246, -0.00033359426891421684, -0.004546226150944382, -0.011381341403089607, 0.00251609666564398, -0.005572690394095109, -0.010911144378228987, 0.0017375839536802606, 0.0030644525126321265, 0.002890461254509813, -0.0037123390101922726, 0.0009025979804100637, 0.002017722315286602, 0.004281242079061998, 0.00652018547059538, -0.0034088708710497406, -0.009417910024724446, 0.0018724599854776647, -0.004260801006933518]"
2,5925.360812731778,9.1378,"[-18.07111380970178, 19.848287091950628, 60.63636153053906, 96.65280613202272, 96.65280613202272, 23.29707647484346, -97.03166237134853, 57.16181373622739, -85.05489842369494, 96.65280592597848, 96.65280613202272, -57.143287499668006, 45.01321833526173, 53.804859679513704, 96.65280613202272, 96.65280613202272, 96.65280613202272, -69.24099819270685, -53.87163380408261, -97.03166259609664, 96.65280613202272, 96.65280613202272, 96.65280613202272, -64.64986923377622, -97.03166259609664, -97.03166259609664, 96.65280613202272, -36.431144073958755, -97.03166259609664, -97.03166259609664]"
3,5001.288493390381,8.1527,"[99.01999084502596, 99.01999084502596, 99.01999084502596, 99.01999084502596, -90.96324208126404, 99.01999084502596, -90.90955895135373, -71.62187865563928, -92.34836891263862, 11.178387788259247, -78.05544535507038, 99.01999084502596, -92.57194379874171, 99.01999084502596, 99.01999084502596, 99.01999084502596, 99.01999084502596, 99.01999084502596, -92.74363872805476, 99.01999084502596, -93.03562383510095, 99.01999084502596, 99.01999084502596, 99.01999084502596, -93.27558216079157, -92.45015002271586, -92.72045711717087, -93.06388516115277, 99.01999084502596, 46.89762319973445]"
4,3000.269398871694,9.1830,"[-0.000818311657372589, -0.0008356168287373122, -0.0008530397250515742, 0.00026501615787374866, 0.0009291437480665465, 0.01937139353176387, 0.00134522691165187, -0.008907997251493022, 0.00018517170984644338, -0.0009782683202100573, 0.0004910548718635999, -0.000759645477451415, 0.0018734712450592106, -0.00017823336300692993, -0.0002760802431057141, 0.001352498939469704, 0.0011151530064750503, -0.0011282789638629442, 0.0005843540866485586, -0.0008800132803110927, -0.00919918870630318, -0.00024364217204567162, -0.00013187236661377222, -0.0012455037092420629, -0.0012654274850402158, 0.0016116263055933056, -0.0013056025684961559, 0.001392973666525521, -0.0013462116345454578, -0.0013666778761113607]"
5,6440.527469210467,8.7153,"[-63.097904393866024, 95.15249309349132, 95.15249309349132, 95.15249309349132, 95.15249309349132, 95.15249309349132, 95.10885017702472, 75.72965836827326, 94.93231516334957, 94.84320130616331, 94.75352550399735, 19.228423948496808, -64.21604095159829, 74.24077931946105, -63.38580208843492, -65.32666755303761, 95.15249309349132, -63.64674878053884, -63.73475749850516, -63.82327655662502, 93.82625105618811, -64.00183861659583, -64.09187804150667, -64.18242065275815, -62.37245422196359, 95.15249309349132, 93.24375712469151, -60.94805323872876, -52.8731079292401, 92.9453265574404]"
6,7865.348946067392,8.1544,"[96.58921620644038, 96.5607727087106, 96.53213571336879, -19.108278070977978, 96.47428339100635, -33.115046025430395, 98.99906601606402, -86.43845539025911, -86.5373589970897, -86.56764324348839, 14.381570096111238, -1.242335221413447, 96.23524477041846, 98.1164566379817, -86.72191713163005, 96.14249946895426, 98.0444090735574, -86.81674181952492, -86.84872306115672, 96.01624592231381, 95.9842236328479, 95.9520190549646, -86.9784960954801, 95.88706562373656, 95.8543180791015, -87.07774806692213, 95.78828464487601, 97.66294123325659, 95.72153789885219, -87.21261259324932]"
7,5453.765458542194,9.1933,"[98.7576957142474, 98.7576957142474, -85.78048037233081, 98.7576957142474, 19.951878612963704, -85.88754773548074, 98.7576957142474, -85.96010337943324, 98.7576957142474, 98.7576957142474, 54.91785651227787, 98.7576957142474, 98.7576957142474, -86.1850405906026, 98.7576957142474, -86.26356082622027, -86.30317350569027, -86.34302018496051, -86.38310007420014, -86.42341237651549, 98.7576957142474, -86.51366833379231, -86.54573568734682, -86.58696953229175, 98.75769571424748, -86.67012135279454, 98.75769571424759, 33.71650338989429, 98.75769571424772, 98.75769571424777]"
8,6382.700826647104,8.1770,"[-93.12471160718655, 90.92582931346551, -92.59415148095177, -35.7560185325644, 90.9436214745508, 50.4188704803362, -93.09078764427323, -93.08518540902283, 78.85032543800882, -93.07289603925875, 90.98026832657604, -93.05777128930728, 63.203806149521746, 90.99911668277298, -93.04054771016638, 48.6612070267536, 91.01831061186552, -13.61315441191605, 91.03129687303964, 91.03784671117428, 91.04443418055918, -92.99369468358069, 91.05772148487915, -92.98003167954101, -92.97583846032813, -92.96869176756199, -7.732868924055626, -92.95360990004447, 33.49379147082854, -92.94161657101759]"
9,7284.410084449426,9.1026,"[84.72703050533225, 84.7160906871626, 84.70507644675732, -79.511444163912, 84.68282553045482, 15.805332425581463, 84.66027944088749, 84.64889624214429, 84.63492803584369, -79.58077571319778, 84.61430865554449, 47.436459829678185, 84.59088750407032, 84.57785630182177, 84.56717826768504, 84.54259465880149, 84.54318280548001, 84.53107833010883, 84.51890301108435, 84.506657090484, 84.49410900229033, 84.41590278651567, 84.46949817208987, 84.45697230871215, 84.38821869869095, -5.4498548311060615, 84.41897958511612, 84.40617782264765, 84.18843377531458, 30.034360029750978]"
10,6266.845621613931,8.2764,"[93.13997349518274, 93.10914714010194, 93.07811107712402, 93.04686589024755, 93.01541216968532, 92.98375051185454, 92.95188151936642, 92.9198058010161, 92.88752397177186, -71.51946138096844, 92.82234447127718, 3.328802793709647, 92.75634806068335, 92.72304511680034, -81.3249739443045, -81.3586808144291, 92.6219251703788, 92.58781702981615, -81.46100456003214, -81.49551126671209, 92.4842975979362, 92.44939507777187, 92.41429569814585, 92.3790001652413, -45.389446173453614, 92.30782349421904, 92.27194379831654, -81.77864299161833, -81.8149084893226, 92.16314804706192]"
