Run,Fitness,Time (s),Solution
1,35.087465325853366,5.1324,"[1.5004887585532751, -2.3607038123167157, 0.7966764418377323, -0.2101661779081132, 0.34701857282502413, 0.9042033235581624, -2.39980449657869, 3.5630498533724335, -0.2101661779081132, -2.673509286412512]"
2,30.18210675480565,5.7391,"[-0.5718475073313787, 0.9433040078201369, 1.2756598240469206, 0.9237536656891496, -1.7155425219941347, -1.6471163245356792, -0.6109481915933532, 1.6764418377321606, -2.0772238514173997, -3.651026392961877]"
3,22.152133385696906,6.4268,"[-0.29814271749755594, 1.9403714565004888, -1.8328445747800588, 0.5229716520039105, -0.34701857282502413, 1.1094819159335287, -1.1388074291300097, -0.04398826979472137, -1.1779081133919842, -3.2600195503421308]"
4,28.587884330009015,5.3495,"[-2.487781036168133, 2.878787878787879, -0.06353861192570864, -1.412512218963832, 0.6304985337243405, 0.8357771260997069, -0.7380254154447705, -0.5718475073313787, -2.1163245356793743, -2.380254154447703]"
5,31.11949119422395,5.4313,"[2.4682306940371452, -2.0576735092864125, 3.064516129032258, -1.304985337243402, 0.15151515151515138, -1.627565982404692, -1.1876832844574778, -1.236559139784946, 1.344086021505376, -1.5102639296187683]"
6,25.081818086264207,5.2568,"[0.9237536656891496, -0.7282502443792769, -1.5102639296187683, 3.8856304985337236, -0.22971652003910048, -0.7380254154447705, 0.27859237536656867, 1.6080156402737051, -1.2463343108504397, -1.2267839687194524]"
7,13.851933391239038,5.3329,"[-1.6177908113391983, -0.3079178885630496, -0.024437927663734094, -0.7478005865102642, -0.9921798631476051, -0.7282502443792769, -0.45454545454545414, 2.2140762463343107, 0.9726295210166178, 1.7350928641251224]"
8,24.63691880492561,5.1670,"[0.17106549364613866, 0.806451612903226, 2.3607038123167152, 1.2854349951124142, -1.0801564027370478, 0.20039100684261957, -3.1622678396871944, 0.8748778103616814, 2.1358748778103616, -0.4447702834799605]"
9,27.593740832791067,5.2294,"[0.9824046920821115, -1.881720430107527, -0.5131964809384169, -1.7937438905180842, -2.2531769305962857, 0.7771260997067451, 2.4389051808406643, -0.2590420332355814, -2.8103616813294234, -0.11241446725317683]"
10,13.430349278424202,5.0118,"[0.5131964809384169, -1.0019550342130987, -0.5131964809384169, -1.4613880742913001, -2.7517106549364616, -0.11241446725317683, 0.8162267839687196, 1.2170087976539588, -0.053763440860215006, -0.17106549364613866]"
