Run,Fitness,Time (s),Solution
1,9.985384545793114,0.7489,"[1.726812185761915, 0.2440280458682702, -0.2013031105278822, -0.664716069916305, -0.6287050529865494, 1.3095574154465899, 1.6050461200418091, -0.0008010925376327194, -1.2729360422976859, -0.3934890250322347]"
2,10.625290509518821,0.7463,"[1.0667882292803137, 0.16445285379679753, 0.7794630391162043, 2.673245798078904, -0.005073586071671521, -0.014152634831503974, 0.14431109856490032, 1.2505817457713757, 0.2946876120575874, -0.18589161599438508]"
3,9.552315210607267,0.7615,"[1.2507343348261628, -1.8407199151604856, -1.3854704702031722, 0.3029274210160908, -0.14721029060585522, 0.41416484195588676, -0.47405604595982354, 1.4307894194749409, 0.24883460109406386, 0.2478427722379477]"
4,8.821937631536075,0.7656,"[-0.35023002800009184, 2.009635998809806, 1.3178735189324868, 1.1804670750967032, 0.8436267366541799, 0.8669728620366062, -0.02964042389239463, 0.2527256219911349, -0.0011825651746004695, -0.047417048775091786]"
5,7.247486880977722,0.7456,"[0.8482807028251864, -0.78968650578694, -1.4763372523288902, 0.8829947127892517, -1.2307451686490527, -0.9168694829519879, -0.03673581493999478, -0.545696607182367, -0.2003875761991596, 0.5003776579105983]"
6,9.619682956402494,0.8417,"[0.8591145257150705, -1.2878134751394281, 0.06870322191789224, -0.5704160340578772, 0.22442035232812785, 0.9798887625790602, 1.7677060524448578, -1.248140320894782, -0.8489673535717284, -0.6921820997779831]"
7,10.347858552627995,0.7831,"[0.15071983886595852, 0.9397578411700529, 0.08304659306787965, 1.830572743017143, 1.6161851210412674, 0.081291818937828, 0.2138154130204244, 1.251878752737066, 0.6266451007469236, -1.2082382830679554]"
8,7.298750765995476,0.7970,"[-2.2296694158128036, -0.02971671841978818, -0.6010101395426908, -0.024604985084420328, 0.9990386889548413, 0.5038872061707016, -0.7272775823790161, -0.2051178368975597, -0.09098122391680885, -0.36518375536922765]"
9,9.161754146900337,0.7761,"[0.978057693921615, -0.06343889952773729, -2.1508571690152665, -0.41447002006546096, -0.17154824484439768, -0.2769872817022838, 1.2616444522434405, 0.047798521412059536, -1.3049797438029769, -0.00255586666768437]"
10,8.358357097883985,0.7542,"[0.2338045791975345, 2.0668568943549683, -1.2391375666623432, 0.2199189752119084, 0.5523342310656059, 0.05367320002136289, 0.548748388278109, 0.03482845175515603, 0.2425021553203992, -1.3337427806303452]"
