Run,Fitness,Time (s),Solution
1,46.21071179107316,0.0682,"[0.14173998044965774, -1.8328445747800588, -3.4066471163245358, 2.370478983382209, 1.6764418377321606, -2.29227761485826, 0.8553274682306942, -2.096774193548387, 3.2404692082111435, 1.3831867057673506]"
2,39.59417273673257,0.0659,"[0.004887585532746819, -0.9726295210166178, 2.849462365591398, 2.233626588465298, 1.2463343108504397, 3.4555229716520035, 3.1622678396871944, 0.6304985337243405, 0.3079178885630496, -1.2463343108504397]"
3,24.252218524283602,0.0694,"[0.8846529814271751, -1.4613880742913001, -0.2590420332355814, 2.4291300097751707, 1.4125122189638315, -0.8944281524926687, -2.6344086021505375, -1.6471163245356792, -1.6568914956011729, -0.4154447702834796]"
4,42.032518926852475,0.0861,"[0.3665689149560114, 1.6959921798631479, 3.9149560117302045, 2.5855327468230698, 1.744868035190616, 2.311827956989247, -1.0801564027370478, 0.08308895405669592, -2.145650048875855, -1.6862170087976538]"
5,36.74379783073379,0.0699,"[-2.7517106549364616, 2.5366568914956016, -3.6412512218963835, -1.099706744868035, 0.07331378299120228, 1.451612903225806, 1.0801564027370478, -0.3176930596285432, -2.1358748778103616, -0.5718475073313787]"
6,31.70810364547948,0.0654,"[0.4447702834799605, -1.4809384164222874, 2.448680351906158, 1.3245356793743888, -2.2531769305962857, 3.4848484848484844, -1.1876832844574778, 0.3176930596285432, -0.29814271749755594, -1.6568914956011729]"
7,11.597624146105842,0.0685,"[0.8162267839687196, 0.562072336265885, -0.1026392961876832, -2.067448680351906, 1.9990224828934506, 0.4447702834799605, -1.3636363636363638, -0.15151515151515138, 0.48387096774193505, -0.14173998044965774]"
8,36.311129457473236,0.0853,"[2.5366568914956016, -1.021505376344086, -0.17106549364613866, 1.2561094819159333, 4.1788856304985345, 0.9824046920821115, 1.9305962854349952, 1.8426197458455524, 0.15151515151515138, 1.2854349951124142]"
9,30.240585784053764,0.0663,"[1.158357771260997, 0.2883675464320623, -2.4780058651026393, 1.744868035190616, 2.546432062561095, 0.004887585532746819, -1.6177908113391983, 2.878787878787879, 1.451612903225806, -0.3665689149560114]"
10,25.700052268021235,0.1013,"[-1.2952101661779083, 1.1388074291300097, -2.038123167155425, -0.32746823069403685, -2.047898338220919, -0.34701857282502413, -1.2952101661779083, 1.3929618768328442, -2.1847507331378297, 2.3998044965786898]"
