Run,Fitness,Time (s),Solution
1,14.868173880329492,2.6201,"[1.481108466092901, 0.5136421900750774, 1.1710309467130564, 0.9476286394433258, -0.3573826527498012, 0.8334859305377522, -0.786485991576634, -1.1252517853872916, -2.6030031129829703, -0.8115119331013858]"
2,19.086092874427198,2.6639,"[-1.5879265091863517, 0.6650186168589389, -2.106146615394006, -1.3144723188671184, -2.615821278154184, -0.8499664286150281, -0.9775376915094913, 0.2487334432033208, 0.9342000854544343, -0.7095770005493502]"
3,15.250176759592748,2.5030,"[-1.451199414026735, -0.9195507538301895, -1.9767441860465116, 1.7570042116828422, 0.30061649270585367, -0.035707745834096194, 0.19440883843008017, -0.7089666117316726, 1.6703289995727282, 1.371848867728743]"
4,17.389679914868513,2.6027,"[1.7087834950863696, -0.1358115119331016, 1.8778611975828605, -0.31282426905939076, -0.02838308002197376, 1.7869132637490077, -0.7376548861624856, -0.7779405481291581, -2.1397180003662335, 1.380394311176219]"
5,14.652842207553292,2.5835,"[-0.617408289080144, -1.3706280900933896, -0.4666422511139592, 0.6131355673564061, 1.2229139962155893, 1.790575596655069, 2.5389122871269, 0.03814930110480397, -0.2737593847280717, -0.7584081059634986]"
6,16.66658209225318,2.5289,"[1.3053164866019653, -0.7083562229139959, 0.041811634010865184, 1.328511261673686, -1.1472257828236585, 0.8060184337422935, 0.3012268815235304, -3.2304828175547824, 0.43734358786547034, -0.10224012696087392]"
7,18.61679951351009,2.6722,"[0.5911615699200388, -2.530366843679424, -0.09918818287248943, -0.04974668864066434, -1.2198620521272052, 1.433498138314106, -0.6137459561740828, -2.620704388695599, 0.9757065250564612, -0.3354086553134348]"
8,12.083844100384553,2.5056,"[-1.9755234084111577, 1.388329365806018, 1.1960568882378073, -0.2017335042422026, -0.8890313129463472, -0.5264603552462921, -0.31526582433009853, 1.7441860465116283, 0.44344747604223933, 0.6137459561740828]"
9,13.675778225902945,2.5955,"[0.49349935909174114, -1.0910700115973877, 1.7765366538485017, -0.012512970762375453, 1.611121284258072, 2.0737960080571325, -0.08087651834218423, -0.5777330159311482, 0.8292132088140143, -1.0776414576084967]"
10,19.555839285946945,2.5495,"[-1.6123420618934263, -0.19807117133614138, -0.17243484099371287, -1.0745895135201122, 2.0011597387535858, -1.0214856863822255, 1.8699261429530614, -0.6326680095220656, 1.3797839223585422, 2.2099127143990724]"
