Run,Fitness,Time (s),Solution
1,29.58184688678734,2.3431,"[0.09491546114875149, -2.071354452786425, -1.9767441860465116, 2.0072636269303548, 0.8438625404382591, -1.198498443508515, -0.6509796740523717, 0.1516816211926999, -3.503326619056339, 1.573887566379784]"
2,24.90415753621604,2.1213,"[-2.1818348287859366, -0.7889275468473418, -1.7734847097601172, -0.2804736617225174, 0.951290972349387, -0.6863822254776295, 0.38057742782152193, 3.663858878105353, 0.5124214124397239, -1.0440700726362695]"
3,22.134309727426015,2.2121,"[0.8383690410791678, 2.3954709149728375, 2.7397302081425865, 0.24323994384422853, 1.7136666056277852, 1.0245376304706095, -1.2876152108893364, -0.7736678264054202, -0.9457974729902947, 0.9952389672221207]"
4,17.38241694739504,2.3437,"[-2.057925898797534, -1.710004272721724, 0.5929927363730698, 0.6137459561740828, 0.4086553134346582, -2.1293413904657266, -0.06439602026490832, 1.9114325825550873, -1.0129402429347496, 0.33174632240737356]"
5,20.412856035134585,2.0552,"[2.2038088262223035, 0.42147347860587203, 0.9323689190014042, -1.205823109320637, 3.0052493438320216, 0.39034364890435214, -0.28962949398767, 0.3512787645730331, -1.1405115058292132, 1.5372642373191727]"
6,22.81362780981676,2.0471,"[1.0043947994872733, -1.2839528779832752, 0.5551486296771042, 0.0766037966184463, -1.931575413538424, 0.34090215467252616, -0.8109015442837091, -2.969236403589086, 1.4841604101812855, -2.0780687297808704]"
7,25.68283676919496,2.2771,"[-0.30366843679423816, 1.2393944942928643, -1.7350302142464749, 0.2664347189159493, 2.268510040896051, -2.446133186840017, -2.8544833058658363, 0.10651284868461186, -0.5972654580968078, 1.1521088933650736]"
8,30.209201257294414,2.2612,"[3.074833669047184, 2.1250686687419886, 2.0036012940242935, -0.6393822865165113, -1.1209790636635537, -2.6445095525849966, 1.2918879326130748, 1.367576146005005, 0.12787645730330244, 0.09918818287248943]"
9,16.372419614618693,2.0474,"[-0.3396813770371727, 0.26582433009827255, -0.6644082280412622, -0.6265641213452966, 2.3002502594152476, -0.1736556186290663, -1.6330952816944393, 2.2715619849844355, -1.0074467435756578, 1.0904596227797105]"
10,29.71412275977607,2.1125,"[-2.3057437587743395, 0.06561679790026265, -1.0788622352438502, -2.4345357993041565, 1.2924983214307515, 1.4408228041262285, 0.22065555759018451, 1.6593420008545445, 0.6106940120856983, 3.2219373741073056]"
