Run,Fitness,Time (s),Solution
1,79.46162982583378,0.7057,"[4.755620723362659, 0.5034213098729232, 2.5953079178885634, 2.4877810361681325, -2.595307917888563, -0.24926686217008776, 0.26881720430107503, 0.9921798631476051, 1.158357771260997, -0.19061583577712593, 0.4936461388074287, -1.0019550342130987, -3.2404692082111435, 2.047898338220919, -0.37634408602150504, 1.4027370478983379, -0.15151515151515138, 3.66080156402737, -0.7673509286412514, 1.5395894428152497]"
2,93.26936950624399,0.6984,"[0.7869012707722387, -2.272727272727273, -1.9990224828934506, 1.881720430107527, -1.5786901270772238, 0.3665689149560114, -3.84652981427175, 0.27859237536656867, -2.038123167155425, 0.8846529814271751, 2.683284457478006, -0.6500488758553278, -0.669599217986315, -1.6862170087976538, 2.3313782991202343, -0.4643206256109478, 0.23949169110459412, 4.002932551319649, -2.429130009775171, 4.35483870967742]"
3,88.52817265455617,0.6899,"[-0.7966764418377323, -1.2658846529814274, -0.9921798631476051, -3.709677419354839, 0.8357771260997069, 2.7028347996089934, -1.412512218963832, -0.7966764418377323, -2.155425219941349, -1.6862170087976538, 1.7057673509286415, 4.227761485826003, -1.0410557184750733, -4.159335288367546, 0.5718475073313787, -1.2072336265884651, 1.637341153470186, -2.878787878787879, 0.6304985337243405, 1.050830889540567]"
4,64.09444936547386,0.7001,"[1.265884652981427, 0.8748778103616814, 1.8328445747800588, -0.42521994134897323, -3.33822091886608, 3.01564027370479, 0.8748778103616814, 1.6862170087976542, 2.820136852394917, 0.8455522971652005, -1.1388074291300097, -0.1808406647116323, -2.1652003910068425, 1.1974584555229715, 1.666666666666667, -0.1319648093841641, 0.014662756598240456, -2.1163245356793743, 3.1622678396871944, -0.9726295210166178]"
5,75.85427637456773,0.7253,"[1.8132942326490715, -2.673509286412512, 0.9433040078201369, -0.5034213098729232, -2.1652003910068425, -2.409579667644184, 2.2434017595307916, -2.038123167155425, 1.344086021505376, 3.2111436950146626, -0.04398826979472137, -0.17106549364613866, -2.1163245356793743, 1.8132942326490715, -1.1974584555229715, -0.3861192570869987, 0.5816226783968723, 0.20039100684261957, 4.755620723362659, -0.3176930596285432]"
6,94.08864923953374,0.6899,"[1.6177908113391988, 4.012707722385143, 1.344086021505376, -2.644183773216031, -1.7839687194525906, -0.06353861192570864, -1.8230694037145652, -3.357771260997067, 1.158357771260997, 2.047898338220919, -0.7380254154447705, 0.5425219941348978, -2.5073313782991202, -3.5826001955034212, 2.4584555229716516, -2.0087976539589443, -1.2267839687194524, -0.8846529814271751, 2.6539589442815252, 1.9696969696969697]"
7,70.29341757371272,0.6955,"[-3.23069403714565, -1.3734115347018574, -0.34701857282502413, -2.80058651026393, 0.5425219941348978, -0.45454545454545414, -2.233626588465298, 3.797653958944281, -0.9726295210166178, 0.9042033235581624, -0.35679374389051777, -1.3245356793743892, 1.5982404692082115, 0.5327468230694041, 1.2072336265884651, 0.053763440860215006, 0.22971652003910048, 0.669599217986315, 1.8328445747800588, 4.276637341153471]"
8,64.65783556881844,0.7290,"[-1.4027370478983383, -1.8035190615835779, 3.1036168132942326, 1.158357771260997, 2.575757575757576, -0.34701857282502413, -0.35679374389051777, 2.0087976539589443, -2.2434017595307916, -1.8914956011730206, -0.806451612903226, 0.8944281524926687, 2.0087976539589443, -2.1652003910068425, -2.145650048875855, -1.1485826001955033, -2.849462365591398, -0.16129032258064502, -1.9501466275659824, 0.9433040078201369]"
9,72.48810114196549,0.6955,"[2.390029325513196, -0.42521994134897323, -0.14173998044965774, -3.7487781036168135, 0.7869012707722387, -1.5102639296187683, 1.2561094819159333, -1.9012707722385143, -0.40566959921798595, 2.7028347996089934, -1.4809384164222874, 0.1026392961876832, 3.6119257086999017, -0.5229716520039105, 0.22971652003910048, 2.3020527859237534, -1.9403714565004888, 0.11241446725317683, 2.8690127077223853, 2.018572825024438]"
10,84.58714474228617,0.6855,"[1.9403714565004888, -0.9921798631476051, 0.43499511241446687, -0.15151515151515138, 1.5004887585532751, -1.099706744868035, 0.9530791788856305, -3.875855327468231, 2.526881720430108, -0.24926686217008776, 0.6304985337243405, -0.8651026392961878, 4.100684261974585, 1.0703812316715542, -4.139784946236559, 2.5855327468230698, 2.2238514173998043, -1.383186705767351, -0.3958944281524923, 1.959921798631476]"
