Run,Fitness,Time (s),Solution
1,41.56812117482176,5.4679,"[2.0927180614051153, -0.12543490203259466, 0.6943172801074287, 2.7751327595678443, 0.776109381676128, 1.528718793871696, 0.07721418543612302, 0.06012329854117038, -1.6410303363242384, -0.23469450039675266, -2.5218214002319477, -0.7809924922175426, -0.7895379356650185, -2.17145821888543, 1.6752121101141428, -0.14313617774522402, -2.624977110419337, 0.27559055118110276, -1.070927180614051, 0.21027894768967847]"
2,51.21768545321839,5.7707,"[-1.5940303973631202, 1.6092901178050418, -1.6025758408105966, -0.15595434291643784, 0.09918818287248943, 1.9486663004333762, 1.4920954648110847, 1.7356406030641516, -0.9317585301837275, 2.0072636269303548, 1.4743941890984553, 0.16266861991088355, -1.805835317096991, -3.5741317219068547, 0.010071415491668567, 1.4157968626014767, -1.1063297320393088, 0.4080449246169806, 1.169810169077702, 2.559665506927913]"
3,48.482113008934874,6.4822,"[-2.2990294817798937, 2.8740157480314963, 0.2145516694134164, -0.3830189830922297, -0.6839406702069217, 0.5868888481963008, 0.14618812183360763, 0.2737593847280717, 0.19624000488311033, 0.03509735701641947, 0.9024598669352377, 2.107977781847037, -1.8217054263565893, -1.2924983214307515, -1.3694073124580357, -2.846548251236037, 0.03937007874015741, -2.2123542696697798, 2.8941585790148325, 0.5459927974119516]"
4,38.393228988849664,6.8828,"[0.17121406335835943, -0.3463956540316184, -2.010315571018739, 0.7187328328145028, -0.34334370994323393, 0.7559665506927917, 1.747237990600012, -1.2412256607458954, -1.3749008118171275, 1.710004272721724, 2.773301593114814, -1.8564975889641704, 1.0715375694317277, -0.11994140267350328, 1.0178233534761647, -1.2558749923701398, 1.5867057315509978, -1.6330952816944393, 1.51834218397119, 1.0886284563266804]"
5,33.852957039487784,6.9001,"[-0.9280961972776662, -0.7950314350241108, -0.031435024110358256, -2.206860770310688, 0.4666422511139592, -0.7523042177867305, -0.8121223219190625, -0.10590245986693514, 2.0988219495818834, -1.1887322224256853, 0.15656473173411456, -2.328328145028383, 1.0343038515534397, -0.24140877739119837, 1.938900079350546, 0.9580052493438318, 1.367576146005005, -0.3366294329487882, -1.6153940059818104, 2.0908868949520842]"
6,37.79141385576804,6.7779,"[0.39705792589879785, -1.6367576146005005, -0.77183665995239, -0.7736678264054202, 0.7993041567478487, -0.3775254837331383, -0.6912653360190442, -3.041872672892633, -1.425563083684307, -0.2169932246841242, 1.7631080998596103, 0.7706158823170357, 2.0640297869743023, 1.023316852835256, -0.8536287615210894, -0.8798754806811937, -2.8459378624183604, -0.2578892754684734, 0.7938106573887564, 1.3639138130989439]"
7,41.850581832285584,6.9824,"[-0.07416224134773852, -0.28413599462857864, 0.39705792589879785, 0.6143563449917595, 0.7504730513336995, 0.7358237197094546, 0.8475248733443204, 3.5497161691997796, -2.394250137337484, 1.835744369163157, 0.35066837575535637, 0.6125251785387293, 0.4269669779649634, 1.965757187328328, 0.30061649270585367, 0.11322712567905757, -1.3480437038393456, -0.770005493499359, 3.198742599035585, -0.6430446194225725]"
8,34.369148589267674,6.7254,"[-0.6821095037538916, 3.4221449063053164, -0.17914911798815858, -2.545626564121345, 1.1667582249893185, 0.10834401513764291, 1.1026673991332476, -1.517121406335836, -0.4806811939205273, -0.6534212293230786, 0.9952389672221207, 0.21943477995483107, -1.9096014161020571, 0.5429408533235671, -1.3382774827565158, 0.29085027162302346, -0.8334859305377522, 1.2204724409448815, -1.011109076481719, 0.2639931636452424]"
9,48.25446551319759,6.6478,"[2.462613684917292, 0.3012268815235304, 0.9164988097418059, 0.4141488127937496, 1.0550570713544527, 0.5014344137215403, -0.9775376915094913, -0.23774644448513715, 2.5419642312152844, 0.13703228956845503, -1.7411341024232434, 1.2137581639504367, 3.6754562656412126, -0.8182262100958306, 1.3022645425135808, -2.057315509979857, -2.333821644387475, 0.8023561008362323, 0.7449795519746081, 0.9866935237746448]"
10,34.65783422162362,6.8767,"[0.9793688579625224, 1.009277910028688, 0.2890191051699933, 2.3545748641884883, 2.579808337911249, 0.11627906976744207, 0.6369407312458035, -0.25972044192150356, 0.36531770737960123, 0.24140877739119837, 0.3982787035341513, -1.1350180064701214, -1.5043032411646218, -1.7209912714399072, -1.8870170298480131, -1.35109564792773, 1.736861380699506, 0.6332783983397423, -0.1516816211926999, -2.054263565891473]"
