Run,Fitness,Time (s),Solution
1,1.862872543723929e-07,0.4034,"[0.0003051944088383607, -0.0003051944088383607]"
2,1.862872543723929e-07,0.4279,"[-0.0003051944088383607, 0.0003051944088383607]"
3,1.862872543723929e-07,0.3981,"[0.0003051944088383607, -0.0003051944088383607]"
4,1.862872543723929e-07,0.4153,"[-0.0003051944088383607, 0.0003051944088383607]"
5,1.862872543723929e-07,0.4037,"[-0.0003051944088383607, 0.0003051944088383607]"
6,1.862872543723929e-07,0.4158,"[-0.0003051944088383607, 0.0003051944088383607]"
7,1.862872543723929e-07,0.4779,"[-0.0003051944088383607, 0.0003051944088383607]"
8,1.862872543723929e-07,0.4135,"[-0.0003051944088383607, 0.0003051944088383607]"
9,9.314362718619645e-07,0.4100,"[0.0003051944088383607, -0.0009155832265150821]"
10,9.314362718619645e-07,0.4054,"[-0.0003051944088383607, 0.0009155832265150821]"
