Run,Fitness,Time (s),Solution
1,0.0002244761415188397,3.5545,"[-0.0009155832265150821, -0.014954526033083226]"
2,0.0001879638396618214,4.0712,"[-0.013123359580052174, -0.003967527314899577]"
3,0.00011866498103527499,3.6083,"[-0.002136360861869413, -0.010681804309345289]"
4,3.818888714635573e-05,3.5348,"[-0.0033571384972228557, -0.00518830495025302]"
5,0.0017572476704955488,3.9282,"[0.03692852346944964, -0.019837636574497886]"
6,0.0006439950383656322,3.6415,"[-0.0015259720441918034, -0.025331135933589266]"
7,2.9247098936474905e-05,3.5665,"[0.00518830495025302, -0.0015259720441918034]"
8,2.1050459744088533e-05,3.6258,"[0.0003051944088383607, -0.0045779161325762985]"
9,0.0010292370804079263,4.0018,"[0.0015259720441918034, 0.03204541292803498]"
10,0.00022373099250135015,3.5581,"[0.0003051944088383607, -0.014954526033083226]"
