Run,Fitness,Time (s),Solution
1,68.6553462584721,18.5566,"[3.194469877311848, -3.3269242507477266, 2.377769639260209, 1.8656534212293234, -0.5539278520417508, 0.21638283586644658, 0.3457852652139417, 0.42147347860587203, -0.030824635292681535, -3.383690410791674, 0.47518769456143595, -1.302874931331258, 0.5520966855887197, -1.1832387230665935, -0.36287615210889346, 1.6538485014954523, -0.638161508881157, 0.4764084721967894, 1.0465116279069768, 2.9228468534456447, -0.47885002746749716, -1.4176280290545078, -0.4013306476225358, -1.6410303363242384, 0.19318806079472584, 0.9335896966367576, -0.10956479277299636, 1.2943294878837817, 1.299822987242874, 0.020448025392174607]"
2,76.29666985191791,22.0614,"[-3.239638649819935, -1.8375755356161876, 2.4967954587071963, 1.5690044558383693, 0.9293169749130197, -0.4172007568821341, -1.1661478361716413, 0.3018372703412071, -2.9631325154123176, -1.3950436428004638, 1.7124458279924308, -0.7095770005493502, 0.5154733565281084, -1.5934200085454435, -1.9773545748641883, -0.4727461392907282, 1.7521211011414275, 2.829457364341085, 0.5441616309589206, -0.6259537325276199, 0.792589879753403, 0.4056033693462737, 0.2603308307391812, 0.9873039125923215, 2.0774583409631937, 1.4139656961484466, -1.2064334981383142, -0.2548373313800889, 1.8680949765000303, 2.2837697613379726]"
3,71.44017454310973,22.2274,"[-0.7773301593114814, 0.7822132698528961, -1.3919916987120797, 0.9378624183604956, -0.753524995422084, -1.7112250503570774, -0.4696941952023437, 1.093511566868095, 1.3272904840383326, -1.6971861075505097, -0.8176158212781539, 1.938900079350546, -1.9761337972288349, 2.2886528718793873, 2.270951596166758, -0.9384728071781723, -0.0027467496795461344, 0.5295122993346766, -0.13703228956845503, -1.4041994750656168, -1.3840566440822806, 1.8546664225111398, -0.8945248123054386, -0.23713605566746043, 1.0343038515534397, -0.9311481413660498, -0.994628578404444, -0.012512970762375453, 4.922480620155039, 1.6135628395287798]"
4,66.39390021163312,22.5795,"[-0.720563999267533, 1.901666361472258, 0.8713300372337178, -0.34029176585484944, 1.3340047610327783, -1.8564975889641704, -3.097418055301227, -0.9744857474211068, 2.4961850698895196, -0.48129158273820405, 2.485198071171336, 0.895745589940792, 1.3004333760605506, 0.4330708661417324, -1.503692852346945, 2.6408472196789354, -2.350912531282427, -2.1336141121894645, 0.6290056766160044, -0.17731795153512753, -1.0471220167246535, -0.6869926142953062, -2.1781724958798754, 1.4066410303363241, 0.10590245986693514, -0.35249954220838653, 0.5258499664286154, -0.382408594274553, 0.38118781663919954, 1.2479399377403402]"
5,68.49510419770795,21.7267,"[0.7669535494109745, -0.831654764084722, -1.8198742599035587, 1.4017579197949095, -0.382408594274553, -2.4443020203869863, 0.14985045473966885, -1.2882255997070136, -0.3360190441311115, -1.495757797717146, 2.4180553012268815, 0.04669474455227984, -0.9793688579625224, 1.0446804614539458, 1.9382896905328693, 2.0506012329854117, 1.029420741012025, 2.454068241469816, 0.9897454678630284, 0.6351095647927734, 0.639992675334188, -0.19746078251846466, 1.7319782701580904, -1.1630958920832573, 2.8465482512360376, -2.1781724958798754, 0.4550448635780988, 2.512055179149118, -0.02716230238662032, -1.8143807605444668]"
6,65.09614346672957,22.1104,"[-3.012574009644143, 0.7596288835988521, -0.7840444363059271, -1.2918879326130743, 1.905939083195996, 0.04425318928157207, -1.561679790026247, 0.2646035524629191, 0.5313434657877067, 2.0243545138253065, 1.0263687969236406, -0.13153879020936365, 3.159677714704266, -1.7234328267106145, -0.2359152780321061, 1.4939266312641148, 1.965757187328328, -0.1358115119331016, 0.5276811328816455, 1.2168101080388212, -1.5299395715070498, 1.945003967527315, 2.557223951657206, 0.9482390282610025, -1.4206799731428918, -1.6117316730757492, -1.0520051272660687, -0.2420191662088751, -0.7986937679301711, 0.8371482634438134]"
7,79.77192564564807,22.1234,"[-2.2257828236586708, 2.1812244399682594, -0.47152536165537473, 0.1767075627174508, 2.50778245742538, 3.364768357443692, 2.402185191967283, 3.340352804736618, 0.5655252395776111, 2.008484404565708, -0.10285051577855064, -0.05707135445278677, 1.0550570713544527, -1.4817188549105782, -0.6344991759750958, 1.3211865958615636, -0.2511749984740277, 1.5378746261368494, -0.8737715925044256, -0.7346029420741012, -1.8607703106879083, 0.5459927974119516, 0.5716291277543792, 1.1032777879509243, -1.6611731673075751, -1.966367576146005, -2.5328083989501313, 1.7838613196606241, -0.13153879020936365, 0.4080449246169806]"
8,65.58142250951889,22.3310,"[-3.5887810535310996, 0.2420191662088751, 2.8636391381309894, 0.0924739058780446, 3.243911371543673, 1.0367454068241466, 0.09796740523713598, 0.07172068607703075, -0.45992797411951436, 2.1146920588414817, -0.7736678264054202, -0.9329793078190809, -0.7858756027589573, 0.8914728682170541, -0.862784593786242, -0.881096258316548, -0.7022523347372278, 0.6314472318867121, 0.058902520905816935, -1.6929133858267718, -0.4733565281084049, -1.9285234694500395, -0.163889397546237, 1.6031862296282728, 0.7956418238417875, -0.2548373313800889, -3.4142098516755173, -1.0178233534761643, 0.0637856314472316, 0.19990233778917155]"
9,70.09500918226642,24.0052,"[-0.5295122993346766, 1.1374595617408287, 1.6984068851858636, -1.0159921870231337, 0.7462003296099615, 1.6147836171641332, -0.16022706464017578, 0.885368980040286, 1.678874443020204, -0.9915766343160595, -0.8762131477751325, 0.3079411585179761, 0.53073307697003, 2.181834828785937, 1.6123420618934263, 0.9268754196423119, 0.6778367820301536, 0.3793566501861685, 1.6569004455838368, -0.5252395776109378, 0.2426295550265518, 1.8101080388207285, 1.7124458279924308, -0.7120185558200571, 2.4510162973814316, 2.7415613745956176, 2.252029542818776, 0.6406030641518647, -2.166575108344015, 3.655923823475554]"
10,65.9982439669224,21.9681,"[-0.7950314350241108, 4.139962155893304, -0.8554599279741195, 0.1669413416346215, 0.7553561618751141, -1.0227064640175794, 0.11261673686138085, -1.7270951596166757, -1.490264298358054, 2.1024842824879446, -0.01678569248611339, 2.2306659342000854, 1.180186778978209, 0.5075383018983093, 0.28169443935787086, 0.5203564670695231, -1.9175364707318563, 1.3956540316181405, 0.7400964414331925, 0.058902520905816935, -1.1258621742049684, -0.21821400231947763, -0.9372520295428188, 1.7850820972959776, -1.4847707989989622, -0.2646035524629191, -1.3382774827565158, -2.019471403283892, -3.071781724958799, 0.31831776841848214]"
