Run,Fitness,Time (s),Solution
1,141.13717823395243,1.6673,"[1.0801564027370478, 3.4261974584555226, -3.23069403714565, -0.8944281524926687, 3.279569892473118, -4.941348973607038, 1.911045943304008, -1.7937438905180842, 2.3998044965786898, -1.9403714565004888, 0.22971652003910048, 0.8553274682306942, 1.8914956011730206, -0.8357771260997069, 1.9794721407624634, -1.5395894428152492, 0.20039100684261957, -2.5757575757575757, 2.7223851417399807, -3.220918866080156, 3.7487781036168126, -0.5229716520039105, 0.6500488758553278, -0.17106549364613866, 2.3313782991202343, -1.8426197458455524, 0.2101661779081132, -2.350928641251222, 0.6207233626588469, 0.22971652003910048]"
2,138.44198297419373,1.6781,"[1.2072336265884651, 0.6598240469208214, -1.774193548387097, 0.562072336265885, 2.6735092864125125, -1.8719452590420333, -0.669599217986315, -4.648093841642229, -3.308895405669599, -0.669599217986315, 0.2101661779081132, 4.120234604105573, 1.8328445747800588, 0.7771260997067451, 2.311827956989247, -3.2600195503421308, -1.158357771260997, 1.451612903225806, 0.16129032258064502, -3.5434995112414467, 3.6412512218963826, -1.1974584555229715, -1.0606060606060606, -0.9824046920821115, -2.6832844574780057, -0.5718475073313787, -1.2072336265884651, 1.4907135874877806, 1.774193548387097, -2.204301075268817]"
3,129.7299453717957,1.6554,"[-0.7966764418377323, 1.0019550342130987, -2.7223851417399803, -0.24926686217008776, 3.416422287390029, 0.11241446725317683, -0.8260019550342133, -0.4643206256109478, 0.9530791788856305, -3.172043010752688, 1.6080156402737051, 1.5200391006842624, 2.790811339198436, 1.7839687194525906, 1.0312805474095796, -2.9178885630498534, 2.311827956989247, 3.0840664711632453, -1.3538611925708701, 4.775171065493646, -3.5728250244379276, -0.9335288367546433, -2.1065493646138806, 1.5395894428152497, -0.8651026392961878, -1.0899315738025415, -1.5395894428152492, 2.3216031280547407, -0.8944281524926687, -1.0899315738025415]"
4,157.30949644013688,1.6641,"[0.1808406647116323, 3.2893450635386117, 0.6109481915933532, 0.45454545454545414, -0.4154447702834796, -3.4359726295210167, 0.9921798631476051, -0.5131964809384169, -3.768328445747801, -1.0801564027370478, 1.5493646138807433, -0.4154447702834796, -1.9208211143695015, -1.6568914956011729, -3.6412512218963835, 0.591397849462366, 4.638318670576735, -4.990224828934506, -0.4447702834799605, -2.409579667644184, 2.233626588465298, 0.4936461388074287, 0.43499511241446687, 4.9315738025415445, 0.37634408602150504, -1.598240469208211, -1.959921798631476, -0.8748778103616814, -1.0801564027370478, -2.0087976539589443]"
5,110.85574312799741,1.9404,"[2.370478983382209, -1.5786901270772238, -0.2101661779081132, 0.4447702834799605, -2.067448680351906, -1.2854349951124147, -0.913978494623656, 1.1681329423264906, 1.5395894428152497, 2.3607038123167152, -0.2883675464320623, 0.32746823069403685, 3.2697947214076244, -4.022482893450635, 1.774193548387097, 2.478005865102639, -0.7086999022482896, -0.1808406647116323, -0.3079178885630496, 2.038123167155425, -2.8592375366568916, -4.579667644183774, 1.5102639296187688, -0.19061583577712593, 0.5229716520039105, -2.624633431085044, 0.9530791788856305, -1.3929618768328447, 1.9012707722385143, 0.45454545454545414]"
6,152.27552222633105,1.6936,"[0.7673509286412514, 2.771260997067449, 2.3802541544477025, -2.1065493646138806, 1.1485826001955033, 3.172043010752688, 1.2267839687194524, -1.6959921798631474, -0.5034213098729232, -4.912023460410557, -4.814271749755621, -1.4711632453567938, 1.6177908113391988, 3.5923753665689144, -0.7380254154447705, -2.673509286412512, -2.9178885630498534, 0.9530791788856305, -0.32746823069403685, 1.373411534701857, 4.120234604105573, 1.1974584555229715, -1.1681329423264906, 0.14173998044965774, 0.19061583577712593, 0.22971652003910048, 3.093841642228739, -0.48387096774193505, 2.018572825024438, 0.15151515151515138]"
7,120.13441576869825,1.6775,"[-1.7253176930596283, -0.48387096774193505, -0.7575757575757578, 0.23949169110459412, 0.6207233626588469, -3.005865102639296, -0.806451612903226, -2.204301075268817, -3.8563049853372435, -1.9012707722385143, -0.4643206256109478, 0.9237536656891496, 4.648093841642229, -2.429130009775171, 1.7937438905180842, 1.9696969696969697, -2.9960899315738025, 1.0410557184750733, 1.7057673509286415, -1.4711632453567938, 1.4418377321603124, -1.275659824046921, 1.6177908113391988, 2.282502443792766, 1.4613880742912997, -2.8103616813294234, -0.14173998044965774, 2.546432062561095, -1.9403714565004888, -0.48387096774193505]"
8,159.82161029460246,1.6810,"[2.047898338220919, 0.26881720430107503, -1.705767350928641, 2.712609970674487, 4.227761485826003, -2.2238514173998043, 1.9208211143695015, 0.19061583577712593, -4.941348973607038, 2.663734115347019, 0.27859237536656867, 3.201368523949169, -2.5268817204301075, 1.0410557184750733, -0.04398826979472137, 2.6441837732160316, 1.0410557184750733, 0.45454545454545414, 3.8269794721407617, 2.546432062561095, -1.383186705767351, -0.5522971652003914, -1.9501466275659824, 1.5004887585532751, -1.8621700879765397, -0.9335288367546433, -2.9960899315738025, 4.237536656891496, 0.27859237536656867, -0.6304985337243405]"
9,136.31953820677688,1.6400,"[-0.8553274682306942, -0.45454545454545414, -1.2561094819159337, -0.07331378299120228, -4.638318670576735, 0.1026392961876832, 3.2893450635386117, -4.951124144672532, -0.21994134897360684, -0.7966764418377323, -2.9765395894428153, 1.911045943304008, 1.1681329423264906, 0.1808406647116323, -1.4711632453567938, -0.7478005865102642, -2.145650048875855, -1.1779081133919842, -0.35679374389051777, -0.6207233626588469, 2.282502443792766, -3.093841642228739, -0.7282502443792769, 1.6080156402737051, -1.4809384164222874, 0.4447702834799605, 1.0606060606060606, 3.7683284457478, -4.159335288367546, 0.45454545454545414]"
10,135.97133954243026,1.6480,"[2.546432062561095, 2.878787878787879, -4.051808406647116, 1.099706744868035, -0.3861192570869987, -4.433040078201368, -1.3343108504398828, 0.004887585532746819, 0.6304985337243405, -0.27859237536656867, -0.21994134897360684, -1.0606060606060606, 2.7517106549364616, -0.5327468230694041, -1.8719452590420333, 2.3216031280547407, -0.3079178885630496, 0.32746823069403685, -1.735092864125122, 0.8553274682306942, 4.208211143695015, 3.4359726295210162, -0.03421309872922773, 2.5953079178885634, 2.663734115347019, -3.308895405669599, 1.6862170087976542, 1.3049853372434015, -0.806451612903226, -0.3958944281524923]"
