Run,Fitness,Time (s),Solution
1,5.065457168351993,0.4852,"[0.4397851431361781, -1.9346273576268085, 0.815174266007447, 0.5728499053897336, -0.36959042910333917]"
2,3.8078751327264104,0.5109,"[1.7051211621803093, -0.23957761093816732, 0.37569431728010727, 0.15290239882805334, -0.8237197094549229]"
3,12.80819107218408,0.5804,"[-2.452237075016786, -1.60379661844595, 1.7118354391747541, 0.5893304034670086, -0.9720441921503999]"
4,9.217071312575412,0.4879,"[-1.5934200085454435, -1.2827321003479217, -0.8188365989135082, -0.07538301898309197, 2.087224562046023]"
5,7.846992639481344,0.5013,"[0.7217847769028873, -0.7486418848806693, 0.638161508881157, -2.490691570530428, 0.39339559299273663]"
6,2.3299190009232738,0.5731,"[0.39766831471647457, -1.0465116279069768, 0.9097845327473602, 0.491668192638711, -0.08453885124824545]"
7,10.669751244556268,0.5959,"[0.0003051944088383607, -1.7112250503570774, 1.6807056094732342, 1.7753158762131473, 1.328511261673686]"
8,7.671184415741826,0.5321,"[1.337056705121162, 2.1311725569187576, -1.031862296282732, 0.5203564670695231, -0.07782457425379974]"
9,8.966793641176972,0.7765,"[0.39034364890435214, 0.0924739058780446, 2.866080693401697, 0.7620704388695598, -0.10346090459622737]"
10,3.1576357455941864,0.4860,"[1.3877189769883413, 0.04303241164621863, -0.7284990538973322, 0.7120185558200571, 0.4385643655008238]"
