Run,Fitness,Time (s),Solution
1,18.361196870798615,0.0531,"[4.081133919843598, 1.2756598240469206, 0.03421309872922773, -0.24926686217008776, -0.12218963831867047]"
2,6.614174093598936,0.0524,"[-0.27859237536656867, -1.236559139784946, 1.099706744868035, 0.806451612903226, 1.774193548387097]"
3,18.519243136119496,0.0531,"[3.01564027370479, 0.20039100684261957, 0.7086999022482896, -2.9765395894428153, 0.15151515151515138]"
4,9.366128411157263,0.0625,"[-1.0899315738025415, -0.3176930596285432, -2.732160312805474, 0.7771260997067451, 0.09286412512218956]"
5,2.232642382580894,0.0706,"[-0.3372434017595305, -0.8260019550342133, -0.07331378299120228, 1.050830889540567, -0.5718475073313787]"
6,10.59629021269358,0.0535,"[0.1319648093841641, 0.5131964809384169, -0.5522971652003914, 0.26881720430107503, 3.1524926686217007]"
7,9.757708577593165,0.0495,"[1.6568914956011733, 0.07331378299120228, -2.2140762463343107, 1.3929618768328442, -0.40566959921798595]"
8,9.019458610320402,0.0529,"[-1.7253176930596283, -0.7086999022482896, -1.1485826001955033, 1.5102639296187688, -1.3929618768328447]"
9,15.024643368697856,0.0647,"[2.145650048875855, -2.90811339198436, 0.14173998044965774, 0.43499511241446687, 1.3245356793743888]"
10,11.127952498210751,0.0543,"[1.6862170087976542, 1.129032258064516, 2.390029325513196, 0.48387096774193505, 1.0312805474095796]"
