Run,Fitness,Time (s),Solution
1,0.0003256356966696431,0.0414,"[-0.005004887585532636, 0.015014662756597907, -0.005004887585532636, 0.005004887585532636, 0.005004887585532636]"
2,0.00012524449871909347,0.0434,"[0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636]"
3,0.0007264180925707867,0.0421,"[0.005004887585532636, 0.005004887585532636, -0.005004887585532636, 0.005004887585532636, -0.025024437927664067]"
4,0.00012524449871909347,0.0421,"[-0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636]"
5,0.00012524449871909347,0.0489,"[0.005004887585532636, -0.005004887585532636, 0.005004887585532636, -0.005004887585532636, -0.005004887585532636]"
6,0.00012524449871909347,0.0431,"[0.005004887585532636, -0.005004887585532636, 0.005004887585532636, -0.005004887585532636, 0.005004887585532636]"
7,0.0003256356966696431,0.0453,"[-0.005004887585532636, 0.005004887585532636, -0.005004887585532636, 0.015014662756597907, -0.005004887585532636]"
8,0.00012524449871909347,0.0474,"[-0.005004887585532636, -0.005004887585532636, 0.005004887585532636, -0.005004887585532636, -0.005004887585532636]"
9,0.009142848406494162,0.0416,"[-0.005004887585532636, 0.005004887585532636, 0.005004887585532636, -0.09509286412512186, -0.005004887585532636]"
10,0.00012524449871909347,0.0422,"[-0.005004887585532636, 0.005004887585532636, -0.005004887585532636, 0.005004887585532636, -0.005004887585532636]"
