Run,Fitness,Time (s),Solution
1,6.2835222443079785e-06,0.1158,"[0.0019651014515379437, -0.0006591617529511581, 0.0007814903632175265, -0.0011238176901588876, 0.00033721050458412937]"
2,2.311649453832094e-06,0.1160,"[-6.709416427940948e-05, 0.0014523837763960514, -0.00010237168275019533, -0.00023153011957618942, 0.0003655722025991785]"
3,6.084759382018108e-07,0.1166,"[8.274724179826087e-05, -0.0002764564295796893, -0.000667034388087101, -9.053521280175808e-05, 0.00026845702649185455]"
4,5.740300570870077e-06,0.1375,"[-0.0005956603546542656, -0.0011163249036240908, 0.0005278891082597329, -0.0016373323365737392, -0.001086178590887622]"
5,1.1074984210256097e-06,0.1175,"[-0.00032841462063858866, 9.645145927072817e-05, 0.00036681577632066155, -0.0005678255975662015, -0.000730314761573272]"
6,2.9430758550280046e-06,0.1161,"[-0.00032716857811396303, -0.00019070432679063262, 3.947607466926219e-05, 0.00037244843560691056, 0.0016307643111770922]"
7,2.623106701832265e-05,0.1143,"[-0.005018898230399735, 0.00012470908220259334, 0.0007875423143943855, -0.0006366298430515594, -2.55883177198153e-05]"
8,1.956260199195582e-06,0.1117,"[0.0001550333258755331, -0.00010747759950012134, 0.0007598428011984805, 0.0005318587931545894, 0.0010297759825710806]"
9,5.448211063361189e-06,0.1144,"[-0.00034017869998988724, 0.0014493169461378018, 0.001235527313986021, -0.0013046882491303188, -5.683954651408262e-05]"
10,7.020876813809721e-05,0.1145,"[-0.0017096070186292268, 0.005646765277424578, 0.005719041240561353, -0.0015826294560605178, 0.0004334803054246825]"
