Run,Fitness,Time (s),Solution
1,0.00025048899743818694,0.1877,"[-0.005004887585532636, 0.005004887585532636, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636, 0.005004887585532636, 0.005004887585532636, -0.005004887585532636, -0.005004887585532636]"
2,0.00025048899743818694,0.2104,"[-0.005004887585532636, 0.005004887585532636, -0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, -0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636]"
3,0.00025048899743818694,0.4704,"[-0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, -0.005004887585532636, -0.005004887585532636]"
4,0.00025048899743818694,0.3168,"[-0.005004887585532636, -0.005004887585532636, -0.005004887585532636, 0.005004887585532636, 0.005004887585532636, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636, 0.005004887585532636]"
5,0.00025048899743818694,0.1853,"[-0.005004887585532636, -0.005004887585532636, -0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, -0.005004887585532636, 0.005004887585532636, -0.005004887585532636]"
6,0.00025048899743818694,0.1826,"[-0.005004887585532636, 0.005004887585532636, 0.005004887585532636, -0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, -0.005004887585532636, -0.005004887585532636]"
7,0.00025048899743818694,0.2001,"[-0.005004887585532636, 0.005004887585532636, -0.005004887585532636, 0.005004887585532636, -0.005004887585532636, 0.005004887585532636, 0.005004887585532636, -0.005004887585532636, -0.005004887585532636, 0.005004887585532636]"
8,0.00025048899743818694,0.1976,"[-0.005004887585532636, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, -0.005004887585532636]"
9,0.00025048899743818694,0.1833,"[0.005004887585532636, -0.005004887585532636, 0.005004887585532636, -0.005004887585532636, 0.005004887585532636, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636, 0.005004887585532636]"
10,0.0008516625912898357,0.1949,"[-0.005004887585532636, 0.005004887585532636, 0.02502443792766318, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636, 0.005004887585532636, -0.005004887585532636]"
