Run,Fitness,Time (s),Solution
1,0.00025048899743818694,0.1637,"[0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, -0.005004887585532636, 0.005004887585532636, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636, 0.005004887585532636]"
2,0.00025048899743818694,0.1611,"[0.005004887585532636, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636, 0.005004887585532636, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636]"
3,0.00025048899743818694,0.1773,"[0.005004887585532636, 0.005004887585532636, -0.005004887585532636, -0.005004887585532636, 0.005004887585532636, -0.005004887585532636, 0.005004887585532636, 0.005004887585532636, -0.005004887585532636, 0.005004887585532636]"
4,0.00025048899743818694,0.1735,"[-0.005004887585532636, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636, 0.005004887585532636, -0.005004887585532636, 0.005004887585532636, 0.005004887585532636, -0.005004887585532636, -0.005004887585532636]"
5,0.00025048899743818694,0.1674,"[-0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, -0.005004887585532636, 0.005004887585532636, 0.005004887585532636, -0.005004887585532636, -0.005004887585532636]"
6,0.00025048899743818694,0.1604,"[0.005004887585532636, 0.005004887585532636, -0.005004887585532636, 0.005004887585532636, -0.005004887585532636, -0.005004887585532636, 0.005004887585532636, -0.005004887585532636, -0.005004887585532636, 0.005004887585532636]"
7,0.00025048899743818694,0.1826,"[0.005004887585532636, -0.005004887585532636, -0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, -0.005004887585532636, -0.005004887585532636, 0.005004887585532636, 0.005004887585532636]"
8,0.00025048899743818694,0.1769,"[-0.005004887585532636, -0.005004887585532636, -0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, -0.005004887585532636, -0.005004887585532636]"
9,0.00025048899743818694,0.1610,"[-0.005004887585532636, -0.005004887585532636, 0.005004887585532636, 0.005004887585532636, -0.005004887585532636, -0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636]"
10,0.00025048899743818694,0.1795,"[0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636]"
