Run,Fitness,Time (s),Solution
1,0.00012524449871909347,0.0433,"[0.005004887585532636, -0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636]"
2,0.00012524449871909347,0.0404,"[0.005004887585532636, -0.005004887585532636, 0.005004887585532636, 0.005004887585532636, -0.005004887585532636]"
3,0.00012524449871909347,0.0406,"[-0.005004887585532636, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636, 0.005004887585532636]"
4,0.00012524449871909347,0.0419,"[0.005004887585532636, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636, 0.005004887585532636]"
5,0.002129156478224669,0.0529,"[0.04504398826979461, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636, 0.005004887585532636]"
6,0.00012524449871909347,0.0492,"[0.005004887585532636, -0.005004887585532636, 0.005004887585532636, -0.005004887585532636, 0.005004887585532636]"
7,0.00012524449871909347,0.0432,"[0.005004887585532636, 0.005004887585532636, -0.005004887585532636, 0.005004887585532636, -0.005004887585532636]"
8,0.00012524449871909347,0.0413,"[-0.005004887585532636, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636, -0.005004887585532636]"
9,0.00012524449871909347,0.0514,"[-0.005004887585532636, -0.005004887585532636, 0.005004887585532636, -0.005004887585532636, 0.005004887585532636]"
10,0.00012524449871909347,0.0545,"[0.005004887585532636, -0.005004887585532636, 0.005004887585532636, -0.005004887585532636, -0.005004887585532636]"
