Run,Fitness,Time (s),Solution
1,1.128631352285933e-09,0.3759,"[8.414460648496769e-06, 1.639712836709606e-05, 6.3136928601208175e-06, -5.272305166118679e-06, -1.7246329003656191e-06, 1.2882425657854968e-05, 2.3188713141331085e-07, -1.5443537037390653e-05, 1.693757746468877e-05, -5.189708911557123e-06]"
2,5.5036500826808176e-09,0.3804,"[-2.3461642422625023e-05, -2.345366524444866e-05, -2.3463790702559514e-05, -2.3464771712499463e-05, -2.3456458052341947e-05, -2.344535752653506e-05, -2.3461690067497784e-05, -2.3451682142742197e-05, -2.3459463715164744e-05, -2.3480056869667218e-05]"
3,2.0418427504585123e-07,0.3833,"[0.00014289311770358565, 0.00014289287809516807, 0.00014289285086989487, 0.000142893264912101, 0.00014289334154785706, 0.0001428928574414053, 0.0001428926196359193, 0.00014289333112321972, 0.0001428929798634142, 0.00014289339059200733]"
4,2.72539104747188e-07,0.4042,"[0.00016822607759721733, 0.00017140264998420293, 0.00016996981668037509, 0.0001641373239676218, 0.00015879467306927075, 0.0001592443321537934, 0.00017093157972055892, 0.0001607136603415417, 0.00016009505807068614, 0.00016666734754336443]"
5,3.3853999255744793e-09,0.4012,"[-1.8652253704501604e-05, -1.774642604086428e-05, -1.881258398023862e-05, -1.8075048941606077e-05, -1.8397422332436133e-05, -1.792040943789173e-05, -1.83130380521922e-05, -1.943128747012451e-05, -1.8352412396924786e-05, -1.823670613637174e-05]"
6,1.114166848873149e-10,0.3906,"[-3.3591802164547485e-06, -3.3373703570526486e-06, -3.319717592137675e-06, -3.339294566912159e-06, -3.3413191943175912e-06, -3.332687530431717e-06, -3.3359811248540502e-06, -3.3137538085537652e-06, -3.347131163665724e-06, -3.352446514819176e-06]"
7,6.267393119865308e-09,0.3763,"[2.5046105113599062e-05, 2.5053160035373224e-05, 2.506975359107763e-05, 2.5031955030617236e-05, 2.494135971392735e-05, 2.5007677944984994e-05, 2.5133902648336303e-05, 2.5132347919570516e-05, 2.4897547844626776e-05, 2.503282543845511e-05]"
8,3.761051522822298e-09,0.3703,"[-1.9742232602519143e-05, -1.912121176737944e-05, -1.9358799559738568e-05, -1.9282178358840876e-05, -1.9471188365716326e-05, -1.8894745805992687e-05, -1.9428693937545004e-05, -1.9786554934029057e-05, -1.972752107963789e-05, -1.910010274608706e-05]"
9,1.0635113863016686e-07,0.3845,"[-0.00010306534142999048, -0.0001030485259504602, -0.00010316602073862414, -0.00010308334888144683, -0.0001033139267886368, -0.0001031622744197765, -0.00010316850867211227, -0.00010304389285492335, -0.00010304164220452006, -0.00010317307438178504]"
10,7.239807354566985e-08,0.3680,"[-8.487869331645702e-05, -8.56615398741261e-05, -8.478838570478704e-05, -8.455203711865656e-05, -8.54610872434785e-05, -8.528562795314385e-05, -8.540167387592189e-05, -8.485953888485271e-05, -8.525347247516845e-05, -8.472122900302385e-05]"
