Run,Fitness,Time (s),Solution
1,0.00021231749107314534,0.1274,"[-0.0012241950326871594, 0.004640510724035358, -0.005637528417150888, 0.0020230630597819453, -0.006920933308405413, 0.0052120760009450404, -0.007612631954839246, 0.001177941087408668, -0.0006193714114154786, 0.004315275366372065]"
2,7.117460955597112e-05,0.1268,"[-0.003291176223551532, 0.0029610023008471414, -0.0002629263774633541, 0.0035518129931717433, 0.0014896353822614356, 0.0030045960790022882, 0.00011473058812559158, -0.0031844164659400624, -0.0036778810560520094, 0.0019908883968066463]"
3,0.0007432857719288323,0.1215,"[0.004284553298823143, 0.013301815464003355, -0.0026638230760532254, -1.638312206824399e-06, -0.011323552777921176, 0.007029939642507993, 0.004524662217436599, -0.015856981562538088, -0.008705951428466174, 0.003942233203698305]"
4,0.0028923620078705084,0.1271,"[-0.008893305662180946, 0.020077032355769096, -0.012674452448438414, 0.01724707833634893, -0.011660502026864309, -0.007578138094172057, -0.032795746337738865, -0.003512071560499142, 0.018909858423294065, -0.017697643443967154]"
5,0.012408817067329912,0.1263,"[-0.015179824640009835, 0.023168726057702153, 0.017622562314912025, -0.013927661358666472, -0.022048774305702144, -0.04035878936522049, -0.03306165898098292, -0.00416592474501676, 0.08285414883304389, -0.03235501724327779]"
6,0.0007720893355726508,0.1250,"[0.0058816087874811315, 0.001290005473297386, -0.018939074155042583, -0.011299921194620666, 9.992211900674468e-05, 0.010527613060796977, 0.0006216315160169854, -0.0017331839860744583, -0.005096038137125558, -0.010452491201318505]"
7,0.000304589066382638,0.1210,"[-0.0019752890071823752, -0.008983612883887408, 0.0003812869388975463, -0.002265284123306085, -0.012349448381708573, 0.004250539012332501, -0.0051616241005045275, -0.003552954434272025, 0.0021681539215635207, -0.00040300144138627394]"
8,0.000494433942638556,0.1210,"[0.0007050049939426178, -0.0018966947003453147, 0.0033325763111965653, 0.0019105834219794796, 0.009573454251759988, 0.010900404735882212, 0.012342336383839353, 0.0022613753945482373, 0.006247047034283408, -0.008284958266425722]"
9,0.00026167030289701116,0.2127,"[-0.0005436299608251767, 0.000627714068318741, -0.001642580040328509, -0.004708143489219788, 0.0004770923924607611, -0.0024550851412881783, -0.002824055397269573, 0.004252801190847512, 0.005196392902240318, -0.013296499308279527]"
10,8.280877340485765e-05,0.1250,"[-0.0018805975764401052, -0.0022456095618419002, 0.005367090367729879, 0.004857868393406635, 0.0018486900308996423, 0.0032264922289576593, -0.0013361672620732633, 0.00024793798959917446, 0.001700097784830345, -0.0018054816261296298]"
