Run,Fitness,Time (s),Solution
1,7.659044278356373e-07,0.3749,"[0.00015895330888025295, 0.0005530796909758936, -5.901484224771294e-07, -1.0653607266693056e-06, 7.583138090413831e-05, -5.340776495137862e-06, -0.0006278024827716077, 4.896507873474125e-05, -0.00017340972657465983, 4.854125862846529e-05]"
2,3.4986400857087183e-06,0.3716,"[-0.00034783205518121264, -0.001055215232967525, 0.0003655188250746169, 7.198648021891666e-05, 0.0001239806547987147, 0.00018824399030906332, 4.906046608389091e-06, 3.498504736655281e-05, -0.0014192802425753077, -0.0002428502870972218]"
3,1.3272610212610847e-06,0.4149,"[-7.412366160607253e-05, -0.0006746547996244244, -0.0007596184378258309, -3.417179276492167e-05, 0.00037374466921163193, -9.6779676595089e-05, -7.42310497431285e-05, -7.699923475394403e-05, 4.976197918687042e-05, 0.00035419338482244435]"
4,1.1181118090167582e-07,0.9728,"[-4.985912738125265e-05, 2.5816324194684944e-05, 3.5765611027234465e-11, 0.00020159332781588877, 0.00015545260273603593, 1.1904484586484934e-06, 1.099027266501937e-06, -0.0001295341025133027, -8.821494229383458e-06, -0.00016429807273186814]"
5,2.985416860561911e-07,0.3730,"[0.00027386699139887586, -4.9355788337682085e-06, 0.00019724045579906367, -3.967889340722894e-05, -0.00018607540432706446, -0.00023637708033077856, 0.00017739028254678906, -0.0001125928962687888, -1.4075736556783694e-05, -0.00021953406560492263]"
6,1.648956920780288e-06,0.4309,"[1.090543912710605e-05, 0.0002887846068909202, 7.992653974923285e-05, -0.0010591578831253537, -2.1953874621535425e-05, -3.299951393806276e-07, -0.00042330058817077905, -0.0004395169942959233, -0.0002166448951642742, -0.00013214424515900762]"
7,2.448425817071767e-06,0.3947,"[-0.00031394129463473543, 0.00033660226176866607, 0.0001461589590499772, 0.00013276232762689832, 0.00017750608951742648, -0.0012843937815743118, -0.00011538047262203916, -0.0007047256862209167, 5.266107037391693e-06, 8.014265338558002e-05]"
8,1.1778184277824967e-06,0.3820,"[-6.681159378261709e-05, -0.0006986174036758499, 1.9809005785099087e-05, 1.050959455635507e-05, 3.1541869358338385e-05, 4.925512893046434e-07, -7.183087371878018e-06, 1.8028545223232784e-05, 0.0004031679644693612, 0.0007217127883176155]"
9,5.878420096975881e-07,0.3973,"[9.492501404204014e-05, -0.00016348128209726326, 0.0006724864972316313, -5.791252419619972e-05, 0.00030651181102553756, 1.092585547129412e-06, -4.5438713213884674e-05, -2.055860998986112e-05, 8.669057839180475e-06, 5.1812128231902826e-08]"
10,1.4674698583905365e-06,0.3793,"[-0.0002817892381142901, 0.0007197013282400507, 0.0003965333110839876, 1.3888253268112876e-05, 5.731247821045952e-05, -4.639568311023311e-05, -1.8961017323713948e-06, 0.0004585431321546612, -0.0005076989614690037, -0.0004890830370503157]"
