Run,Fitness,Time (s),Solution
1,1.3226710353674137e-05,0.1178,"[0.0007237969272135061, -0.0009461973453867152, -0.0004963812060571672, -0.003272924868594533, -0.0009214702644265022]"
2,5.356586607463589e-06,0.1124,"[0.0016622199674839414, -0.0015948385539192797, -4.2250387433913046e-05, -4.992319301894794e-05, 0.00021406530231312944]"
3,3.4031142239612104e-05,0.1120,"[0.0027472521636372274, 0.00012836761534916648, 0.0011533265945943803, -2.4702987755366793e-05, 0.005013631126531901]"
4,3.88119731411864e-06,0.1179,"[-0.000848682008711469, -5.8082284592964094e-05, 0.0017758008033333106, 1.1726184654454368e-05, -6.290162079618418e-05]"
5,6.294051377600308e-05,0.1337,"[0.0006692120756142776, 0.00034781220676184405, -0.006308612374712053, 0.0026826095136746387, -0.003921315053072735]"
6,4.135524855017418e-06,0.1110,"[-0.0005326078974554746, -0.00011636586809626165, -0.0008050402357038591, -0.0017239228386458465, -0.0004672396950397115]"
7,2.8305222099623656e-06,0.1482,"[-0.0011492716681474283, -0.00022943306809488381, 0.0007860403006363717, 0.0009141572120632772, -5.9283618553022585e-05]"
8,1.2501697516318851e-05,0.1290,"[-0.0034723564694448044, 0.00035880414096247856, -3.3217021228653266e-05, 0.00028005802000775773, -0.0004859648019989412]"
9,7.647430114500712e-06,0.1134,"[9.28388854440805e-05, -0.001232611836699475, 0.00015778131592300538, 0.0024677528519768373, 6.913778839642967e-05]"
10,1.0659711480846581e-05,0.1126,"[-0.00012772393777553008, 0.0031145935746342674, 0.0002670362933828918, -0.0008852815947065131, 0.00029609636523072807]"
