run,best,mean
1,-0.00030465608531178817,-2.090932469919484
2,-0.004349208591855084,-2.0208956314480933
3,-0.00010793692195295326,-2.2161608174420504
4,-0.00029876789811658156,-2.1102073576533718
5,-0.003463932969916003,-3.415683561047472
6,-0.00022521200220469506,-2.2206737946438797
7,-0.00010654531773618437,-1.614863905984137
8,-0.0002972494549738243,-1.7196119842784727
9,-0.00020051159956264287,-3.5710689360725416
10,-0.0007087494540197681,-2.567681359291429
11,-0.00010078435093746698,-2.4366122308267073
12,-0.00015610138149509993,-2.658884076920854
13,-0.00024441713221935935,-0.8723757808937765
14,-4.523462340278674e-05,-2.761801426147915
15,-5.783363882753243e-05,-2.0147764977984717
16,-8.673307749374556e-05,-2.810927476963473
17,-0.00013654949483762533,-2.045368609962012
18,-0.00018531686843255955,-1.8515304215782162
19,-0.0013846395676400754,-2.090261642592973
20,-0.00014068520676638357,-2.349229365201096
