run,best,mean
1,-30.83719718457695,-31.242351007289162
2,-21.086395741673833,-21.394237458640337
3,-31.270108879125544,-32.63027280639624
4,-30.006602890422016,-31.801855870819775
5,-36.53024905501678,-38.64609537945921
6,-24.73104288188189,-24.731454533258603
7,-22.289984633253113,-33.23562650058673
8,-33.22240679438773,-35.05490725517781
9,-31.50253729276137,-32.98441873942514
10,-30.383737538810824,-31.19071188064466
11,-41.50248236653819,-41.579550038951
12,-30.162643749340752,-30.287488006928978
13,-28.85871120647897,-30.143622320617585
14,-13.75066576687662,-13.750665766876619
15,-26.844726223637434,-26.844726223637426
16,-25.128182067289522,-26.291254601336433
17,-41.89520506097809,-41.89520506097808
18,-31.822097746863506,-31.822097746863513
19,-17.794188251885917,-17.79418825188592
20,-16.103985884291088,-25.76358105951764
