run,best,mean
1,-0.00018378869779322137,-1.938961451995742
2,-8.111840461421298e-05,-1.0483803971280128
3,-0.0003856201374434485,-1.799765026940564
4,-0.0002705907737553608,-2.1305651636974208
5,-0.00013654644307400764,-2.371553994978806
6,-0.00016052777390996827,-1.7137836180712989
7,-3.4370344868332084e-05,-1.214168866003093
8,-0.00045110850545553103,-1.5142790356444304
9,-0.00014627184156755076,-1.9756641368527499
10,-8.63401629259693e-05,-1.5093450810499573
11,-5.6258165851851454e-05,-2.199555660628154
12,-0.0008747539515562623,-3.3805473953029734
13,-0.0002832124866721196,-1.976834032031655
14,-6.718119083625762e-05,-2.296669001169177
15,-2.9517087015292763e-05,-2.7568852177213765
16,-5.510631581553265e-05,-2.4055567304599674
17,-0.00013782150806702963,-2.713279375019851
18,-0.00030057644953978196,-1.2102367643465837
19,-0.000238973358103247,-2.554372361561058
20,-0.0002788732602560345,-1.2902441381156244
