run,best,mean
1,-28.330730033572234,-28.330730033572237
2,-39.08256260370057,-39.14438289558697
3,-34.54789061012102,-36.13185360204865
4,-38.45466415304342,-42.065012063712274
5,-35.377466385792765,-36.34691864320656
6,-32.47268778438053,-33.164739422297885
7,-29.844892471891868,-30.622629683476593
8,-18.48548836842452,-31.476080637158578
9,-34.83885868104375,-34.839598023993375
10,-24.47983714494795,-24.60368244705138
11,-26.370328328973294,-29.192762520318613
12,-36.46692919337617,-36.46723298845386
13,-27.353090506558342,-27.381625953640825
14,-25.341499409699118,-33.79274286241678
15,-24.800339810281717,-24.922513740683318
16,-29.450319467793324,-30.285227080177112
17,-27.86649511586538,-29.01321546192338
18,-38.662332039143756,-38.66233203914374
19,-32.73744045495959,-33.463892143733354
20,-33.47465669377466,-36.88833816940766
