run,best,mean
1,-3.7582945981836085e-06,-1.0500780812473232
2,-4.8150011348700386e-05,-1.6275553963225267
3,-4.190882093199198e-06,-2.100812977445896
4,-1.1283562247384742e-05,-2.5097186248172205
5,-8.800380326032172e-06,-2.49743843633608
6,-1.7498860357001365e-05,-2.283509816379481
7,-4.243906486330121e-06,-1.782208743786997
8,-5.320106163222303e-05,-2.2375078763265472
9,-6.2618231998826e-05,-2.3560603415669745
10,-8.87762809300542e-06,-1.551245664187939
11,-4.398301884269428e-05,-2.321111248906756
12,-4.872011894243763e-05,-1.6820391053850088
13,-8.914416149924392e-05,-1.7432306072448953
14,-3.2861819957364846e-05,-1.9433856757302737
15,-2.1356480324687414e-05,-1.4404780467805458
16,-9.516338379543212e-05,-2.477161400345664
17,-8.609926433416713e-05,-1.8871506661736408
18,-0.00011109912128270293,-1.081994877232759
19,-1.8335234327744843e-05,-2.37441190796679
20,-0.00010282769742516625,-2.2037203812566584
