run,best,mean
1,-0.0005294136728201772,-1.3957946354133182
2,-0.000951030416292874,-1.9599482111775361
3,-0.00015570949980010318,-1.4431117624679233
4,-0.00021600150619053763,-0.9310549160735757
5,-0.00017364361099622209,-1.4183881932598235
6,-0.00028989739882687913,-1.0745638932398731
7,-0.00026730104588274667,-1.167622445222342
8,-0.0012097405253843297,-2.677335071010144
9,-0.0014527106765406589,-2.3092239968409682
10,-0.00019525764744588307,-0.6819177833928675
11,-0.12219436491270923,-4.6620099346806
12,-0.00010147134489673645,-1.5011880215305173
13,-0.0004472494143737561,-1.1614820296873394
14,-0.0006228462952283649,-1.1717988425613344
15,-0.0002381941375240019,-0.9132937196459499
16,-0.0004956210409226434,-1.5203086834892834
17,-0.00022725574170770496,-0.8726382203429098
18,-0.0009809825059741261,-0.6846713900695492
19,-0.0007241074012722254,-1.8427876337429734
20,-0.00011259928143334581,-0.7883673830823017
