run,best,mean
1,-0.0005520409693632806,-0.9769613181824803
2,-0.00021670175010864086,-1.0779238650156515
3,-0.00036972432959923147,-1.13028773087563
4,-0.0016710373008329289,-0.9026872120560948
5,-0.00029279234802317484,-1.2372643553992713
6,-0.000416143155601572,-0.834124805667069
7,-0.00029918949215888065,-0.983415522446739
8,-0.00024862364869714495,-1.1049355062875177
9,-0.0004627152287537097,-1.3109144430110695
10,-0.00033309227358372073,-1.3049718446271519
11,-0.0004075924906169144,-1.0429486058534216
12,-0.0003900037612610886,-1.3040737914065441
13,-0.000517538550859969,-1.118719539527607
14,-8.480315183009823e-05,-1.1171417550535634
15,-0.0004948163685361099,-1.543767197055445
16,-0.0007968653506220134,-2.379693377983506
17,-0.0003014774513730162,-1.1155456798703602
18,-0.0004846202843823592,-0.9996801794799951
19,-0.0001821502914109098,-0.6938194780547119
20,-0.0004171407998048863,-1.3934369629191476
