run,best,mean
1,-18.090782408260566,-19.339155619983103
2,-15.533397611920584,-16.215836192157305
3,-11.785274949748578,-12.220427835993041
4,-5.539642141514767,-6.0115678211305505
5,-8.206884170605628,-8.681716198542283
6,-14.61386755383795,-14.979143271810738
7,-7.044688176763225,-7.499348483943137
8,-11.581111067604354,-11.998700388459016
9,-6.174051076344776,-6.491066314266737
10,-11.77503204982598,-12.068082797222376
11,-9.062390115473258,-9.48104688693623
12,-14.297214227660811,-14.658588301197993
13,-3.668371156128999,-4.030433818164323
14,-8.286586022075841,-9.137698741565277
15,-9.2566505187501,-10.675410736441766
16,-7.383463109725276,-8.143145649873274
17,-7.182071444630429,-7.6795734193584915
18,-6.3680409679739745,-6.907384955032115
19,-15.42008670585162,-15.66760463497432
20,-9.416534655607862,-10.031872512526594
