run,best,mean
1,-1.763947725251564,-4.482081812718362
2,-0.808095176508553,-4.464005091285684
3,-2.9239409368555127,-5.1712733793691195
4,-2.5071416229198746,-2.837782310712825
5,-3.628836885619015,-5.1445576341102806
6,-4.0053192412968865,-4.806650503068439
7,-2.9602362267606632,-3.5609693442260895
8,-3.3923063047356794,-5.788022597209946
9,-4.216221473079811,-5.723659243308352
10,-2.2132335802655723,-3.604575762066664
11,-3.870128609955004,-4.730724246285197
12,-3.7878828487543403,-5.827222182273759
13,-3.827020153295953,-6.409795646655295
14,-3.674434354450403,-5.257189011331796
15,-5.357494929250812,-5.812516329525318
16,-3.815392421868309,-5.0769491866851615
17,-3.1570604408141723,-4.261220382023042
18,-4.132192274406094,-4.755015784397401
19,-9.92320788137988,-4.491688577752953
20,-4.233485039920661,-5.28609793623786
