run,best,mean
1,-19.41716541815606,-19.780049799146553
2,-18.798284100535383,-19.172863193357074
3,-33.851310097691446,-34.020247826429994
4,-28.750087679664922,-28.891166712589275
5,-27.801467876878682,-27.94848315684996
6,-28.679493240916482,-29.03005981415183
7,-20.010774636652307,-20.01077463665231
8,-22.8715196632711,-23.001932973125186
9,-24.030064095387864,-24.234889063007664
10,-18.998935974981034,-19.46886903561772
11,-20.55371455222457,-20.553714552224562
12,-26.65942418892909,-27.139916984322323
13,-20.474797735969627,-21.66746894984935
14,-24.283590335942247,-24.436351765962325
15,-21.28520141815821,-25.479482825205114
16,-20.609052049353306,-20.899663387060592
17,-18.701560718408892,-18.846564270122222
18,-5.760287020339658,-6.401230437960104
19,-12.919994110545204,-13.380406617347179
20,-20.289841569607557,-20.492700134448388
