run,best,mean
1,-8.314915655082995,-13.241662749821016
2,-9.195116671354501,-14.670075244260309
3,-13.805864892192528,-16.439856552976366
4,-11.780175151246196,-18.52327438580324
5,-9.834204472243176,-10.075481974753128
6,-12.8920315761269,-18.611144369365118
7,-12.483838344654478,-15.962302966181966
8,-8.142855134706519,-12.85707833971987
9,-12.446869287514275,-16.357373050702037
10,-15.94797140217071,-19.197870826714198
11,-11.366827769996078,-12.347910077842995
12,-9.423534571401943,-10.933561073810433
13,-12.088102395963045,-19.12991620136834
14,-7.261779820902609,-12.787196986154584
15,-3.268248092272673,-13.34458142029099
16,-11.064750945917103,-15.532339964990914
17,-11.569233878819839,-14.13443546787861
18,-17.350353875672127,-20.585629942391396
19,-11.677853783288462,-14.789064933279091
20,-4.034092449183485,-16.16478395763158
