run,best,mean
1,-0.0001650618780064586,-1.007418831984007
2,-5.762123224990859e-05,-0.6189715738883954
3,-8.29299690054365e-05,-1.4497524398197208
4,-5.6644541436974345e-05,-0.9151206449857281
5,-7.752055741726147e-05,-1.3732793595535546
6,-2.1760934462160116e-05,-1.1726466532342958
7,-3.44900933071529e-05,-0.68381002328173
8,-0.0001371859443393352,-0.8668162730418433
9,-5.494128750724005e-05,-1.460822626776158
10,-7.222283691570045e-05,-0.8634067216408763
11,-4.6242065690237337e-05,-0.7621514324603689
12,-6.04011521130379e-05,-0.5282929859100797
13,-0.0001370850259665043,-1.2057827981607185
14,-0.00010257865315093211,-1.22042256305106
15,-8.159097176298521e-05,-1.3501808016075203
16,-4.844505456016989e-05,-0.7430390285917953
17,-0.00017967103073835466,-0.9667412521296045
18,-0.00033147279593557225,-0.8728455858566819
19,-4.39872534474625e-05,-0.4962157022125567
20,-7.125941400333379e-05,-1.4045268519017857
