run,best,mean
1,-0.18210105853852254,-0.9763518534868474
2,-0.14565378216947525,-0.9584547900765947
3,-0.2859860669587153,-1.5385700780710465
4,-0.20095699146033125,-1.3369718082821231
5,-0.136293947127486,-1.0461471521752588
6,-0.18993276479746934,-0.9384496608519453
7,-0.16026388908388173,-0.8851576283969035
8,-0.19483465202018324,-1.4669067158390292
9,-0.14010306586342625,-1.4145267615355206
10,-0.26243499231862166,-1.7336360931353731
11,-0.3359067686618283,-1.5857980005796495
12,-0.13043680817135583,-0.8501071105385559
13,-0.28029028722478794,-1.5571814317713848
14,-0.1596464846808627,-1.2319862342470982
15,-0.19315221798910112,-0.8967980154424793
16,-0.07915296427455458,-1.2496516205970642
17,-0.10581792497745247,-1.5397324380074926
18,-0.11259748744474007,-1.2256144532533098
19,-0.23053441747061035,-1.2927381097554107
20,-0.2808038890378065,-1.2086975401638362
